./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	40010c	     52	12727.0	12727.0	12727.0	 0.2026	 100.00	0.06592
      1	40014f	     52	  298.0	13021.0	 6510.5	 0.1953	 100.00	0.47564
      2	40014f	     52	   15.0	13026.0	 4342.0	 0.2030	 100.00	0.79742
      3	40014f	     52	   20.0	13026.0	 3256.5	 0.1969	 100.00	   1.08
      4	40014f	     52	   11.0	13025.0	 5210.2	 0.2199	 100.00	   1.31
      5	40014f	     52	   28.0	13021.0	 6512.0	 0.2396	 100.00	   1.52
      6	40014f	     52	   15.0	13020.0	 7441.7	 0.2380	 100.00	   1.70
      7	40014f	     52	   20.0	13024.0	 8139.5	 0.2307	 100.00	   1.88
      8	40014f	     52	   19.0	13023.0	 8682.1	 0.2437	 100.00	   2.04
      9	40014f	     52	   20.0	13025.0	 9116.4	 0.2512	 100.00	   2.19
     10	40014f	     52	   18.0	13019.0	 9471.2	 0.2445	 100.00	   2.32
     11	40014f	     52	   19.0	13030.0	 9767.8	 0.2506	 100.00	   2.44
     12	40014f	     52	   17.0	13031.0	10018.8	 0.2492	 100.00	   2.56
     13	40014f	     52	   24.0	13025.0	10233.5	 0.2494	 100.00	   2.67
     14	40014f	     52	   19.0	13032.0	10420.1	 0.2517	 100.00	   2.76
     15	40014f	     52	   20.0	13028.0	10583.1	 0.2574	 100.00	   2.86
     16	40014f	     52	   11.0	13027.0	10726.8	 0.2541	 100.00	   2.94
     17	40014f	     52	   21.0	13026.0	10854.6	 0.2633	 100.00	   3.02
     18	40014f	     52	   16.0	13026.0	10968.8	 0.2580	 100.00	   3.09
     19	40014f	     52	   18.0	13022.0	11071.5	 0.2620	 100.00	   3.15
     20	40014f	     52	   21.0	13027.0	11164.6	 0.2577	 100.00	   3.20
     21	40014f	     52	   23.0	13028.0	11249.3	 0.2574	 100.00	   3.25
     22	40014f	     52	   29.0	13029.0	11326.7	 0.2586	 100.00	   3.30
     23	40014f	     52	   21.0	13024.0	11397.4	 0.2555	 100.00	   3.34
     24	40014f	     52	    9.0	13029.0	11462.7	 0.2546	 100.00	   3.38
     25	40014f	     52	   21.0	13026.0	11522.8	 0.2588	 100.00	   3.42
     26	40014f	     52	   14.0	13028.0	11578.6	 0.2525	 100.00	   3.46
     27	40014f	     52	   22.0	13030.0	11630.4	 0.2538	 100.00	   3.50
     28	40014f	     52	   12.0	13030.0	11678.7	 0.2565	 100.00	   3.53
     29	40014f	     52	   18.0	13024.0	11723.5	 0.2595	 100.00	   3.56
     30	40014f	     52	   20.0	13020.0	11765.3	 0.2585	 100.00	   3.59
     31	40014f	     52	   19.0	13025.0	11804.7	 0.2575	 100.00	   3.63
     32	40014f	     52	   16.0	13029.0	11841.8	 0.2563	 100.00	   3.65
     33	40014f	     52	   23.0	13032.0	11876.8	 0.2602	 100.00	   3.68
     34	40014f	     52	   17.0	13027.0	11909.7	 0.2577	 100.00	   3.70
     35	40014f	     52	   19.0	13026.0	11940.7	 0.2578	 100.00	   3.73
