./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	40010c	     40	12686.0	12686.0	12686.0	 0.2200	 100.00	0.00296
      1	400148	     40	  284.0	12964.0	 6482.0	 0.1637	 100.00	0.00385
      2	400148	     40	    2.0	12964.0	 4321.3	 0.1691	 100.00	0.00466
      3	400148	     40	    1.0	12965.0	 3241.2	 0.1968	 100.00	0.00544
      4	400148	     40	    7.0	12964.0	 5185.8	 0.2010	 100.00	0.00616
      5	400148	     40	    8.0	12968.0	 6482.8	 0.1842	 100.00	0.00683
      6	400148	     40	    6.0	12968.0	 7409.3	 0.1792	 100.00	0.00745
      7	400148	     40	    8.0	12966.0	 8103.9	 0.1829	 100.00	0.00802
      8	400148	     40	    8.0	12964.0	 8643.9	 0.1772	 100.00	0.00856
      9	400148	     40	    9.0	12969.0	 9076.4	 0.1715	 100.00	0.00906
     10	400148	     40	    6.0	12965.0	 9429.9	 0.1737	 100.00	0.00953
     11	400148	     40	    5.0	12966.0	 9724.6	 0.1730	 100.00	0.00998
     12	400148	     40	   10.0	12968.0	 9974.1	 0.1718	 100.00	0.01041
     13	400148	     40	    8.0	12970.0	10188.1	 0.1718	 100.00	0.01081
     14	400148	     40	    6.0	12966.0	10373.3	 0.1731	 100.00	0.01118
     15	400148	     40	    5.0	12967.0	10535.4	 0.1705	 100.00	0.01153
     16	400148	     40	   13.0	12972.0	10678.7	 0.1741	 100.00	0.01187
     17	400148	     40	    9.0	12965.0	10805.7	 0.1720	 100.00	0.01224
     18	400148	     40	    6.0	12969.0	10919.6	 0.1697	 100.00	0.01264
     19	400148	     40	    4.0	12969.0	11022.0	 0.1684	 100.00	0.01304
     20	400148	     40	   14.0	12969.0	11114.8	 0.1731	 100.00	0.01342
     21	400148	     40	   12.0	12969.0	11199.0	 0.1695	 100.00	0.01379
     22	400148	     40	    9.0	12974.0	11276.2	 0.1680	 100.00	0.01415
     23	400148	     40	   13.0	12967.0	11346.7	 0.1650	 100.00	0.01450
     24	400148	     40	   15.0	12972.0	11411.7	 0.1619	 100.00	0.01484
     25	400148	     40	    4.0	12970.0	11471.6	 0.1621	 100.00	0.01517
     26	400148	     40	    6.0	12966.0	11527.0	 0.1618	 100.00	0.01548
     27	400148	     40	    9.0	12975.0	11578.7	 0.1613	 100.00	0.01579
     28	400148	     40	    7.0	12970.0	11626.7	 0.1600	 100.00	0.01609
     29	400148	     40	    5.0	12971.0	11671.5	 0.1619	 100.00	0.01638
     30	400148	     40	    9.0	12970.0	11713.4	 0.1624	 100.00	0.01666
     31	400148	     40	    4.0	12972.0	11752.7	 0.1637	 100.00	0.01693
     32	400148	     40	   13.0	12967.0	11789.5	 0.1652	 100.00	0.01720
     33	400148	     40	    1.0	12968.0	11824.1	 0.1621	 100.00	0.01746
     34	400148	     40	    9.0	12965.0	11856.7	 0.1592	 100.00	0.01772
     35	400148	     40	    8.0	12969.0	11887.6	 0.1586	 100.00	0.01797
     36	400148	     40	   10.0	12965.0	11916.8	 0.1586	 100.00	0.01821
     37	400148	     40	    9.0	12974.0	11944.6	 0.1581	 100.00	0.01844
     38	400148	     40	   14.0	12966.0	11970.8	 0.1578	 100.00	0.01867
     39	400148	     40	    1.0	12967.0	11995.7	 0.1569	 100.00	0.01890
     40	400148	     40	   12.0	12969.0	12019.4	 0.1583	 100.00	0.01912
     41	400148	     40	    5.0	12970.0	12042.0	 0.1584	 100.00	0.01932
     42	400148	     40	    6.0	12970.0	12063.6	 0.1590	 100.00	0.01952
     43	400148	     40	    9.0	12967.0	12084.2	 0.1585	 100.00	0.01973
     44	400148	     40	    7.0	12966.0	12103.8	 0.1567	 100.00	0.01993
     45	400148	     40	    8.0	12970.0	12122.6	 0.1567	 100.00	0.02012
     46	400148	     40	    9.0	12971.0	12140.6	 0.1583	 100.00	0.02031
     47	400148	     40	    9.0	12972.0	12158.0	 0.1592	 100.00	0.02049
     48	400148	     40	   12.0	12968.0	12174.5	 0.1591	 100.00	0.02067
     49	400148	     40	    8.0	12974.0	12190.5	 0.1605	 100.00	0.02085
     50	400148	     40	   10.0	12970.0	12205.8	 0.1603	 100.00	0.02102
