./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	40010c	     23	12698.0	12698.0	12698.0	 0.1792	 100.00	0.15596
      1	40013d	     23	  307.0	13001.0	 6500.5	 0.1675	 100.00	0.25982
      2	40013d	     23	    7.0	12998.0	 4332.7	 0.1322	 100.00	0.35093
      3	40013d	     23	    9.0	12999.0	 3249.8	 0.1142	 100.00	0.44659
      4	40013d	     23	    9.0	13002.0	 5200.2	 0.1143	 100.00	0.55935
      5	40013d	     23	    6.0	13004.0	 6500.8	 0.1056	 100.00	0.64721
      6	40013d	     23	   12.0	13004.0	 7429.9	 0.0921	 100.00	0.72446
      7	40013d	     23	   14.0	13002.0	 8126.4	 0.0938	 100.00	0.79893
      8	40013d	     23	   12.0	13002.0	 8668.1	 0.0890	 100.00	0.86844
      9	40013d	     23	    7.0	13003.0	 9101.6	 0.0875	 100.00	0.92909
     10	40013d	     23	   12.0	13003.0	 9456.3	 0.0804	 100.00	0.98703
     11	40013d	     23	   11.0	13004.0	 9751.9	 0.0784	 100.00	   1.03
     12	40013d	     23	   15.0	13001.0	10001.8	 0.0738	 100.00	   1.09
     13	40013d	     23	    6.0	13003.0	10216.2	 0.0727	 100.00	   1.13
     14	40013d	     23	   10.0	13007.0	10402.3	 0.0716	 100.00	   1.17
     15	40013d	     23	    7.0	13008.0	10565.1	 0.0723	 100.00	   1.22
     16	40013d	     23	   16.0	13002.0	10708.5	 0.0761	 100.00	   1.26
     17	40013d	     23	    8.0	13002.0	10835.9	 0.0778	 100.00	   1.29
     18	40013d	     23	   11.0	13007.0	10950.2	 0.0838	 100.00	   1.33
     19	40013d	     23	   11.0	13008.0	11053.0	 0.0809	 100.00	   1.35
     20	40013d	     23	   13.0	13005.0	11146.0	 0.0812	 100.00	   1.38
     21	40013d	     23	   14.0	13001.0	11230.3	 0.0787	 100.00	   1.42
     22	40013d	     23	   14.0	13005.0	11307.5	 0.0780	 100.00	   1.45
     23	40013d	     23	   10.0	13003.0	11378.1	 0.0774	 100.00	   1.48
     24	40013d	     23	   16.0	13007.0	11443.3	 0.0796	 100.00	   1.51
     25	40013d	     23	    9.0	13004.0	11503.3	 0.0780	 100.00	   1.54
     26	40013d	     23	   14.0	13002.0	11558.8	 0.0781	 100.00	   1.57
     27	40013d	     23	   11.0	13005.0	11610.5	 0.0794	 100.00	   1.59
     28	40013d	     23	   14.0	13005.0	11658.6	 0.0783	 100.00	   1.62
     29	40013d	     23	   12.0	13009.0	11703.6	 0.0769	 100.00	   1.64
     30	40013d	     23	   13.0	13006.0	11745.6	 0.0760	 100.00	   1.67
