./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	400144	     45	42313.0	42313.0	42313.0	 0.1295	 100.00	  47.09
      1	400800	     45	 1220.0	43525.0	21762.5	 0.1224	 100.00	 208.46
      2	400800	     45	    8.0	43525.0	14508.3	 0.0816	 100.00	 330.72
      3	400800	     45	   10.0	43527.0	10881.8	 0.0612	 100.00	 421.09
      4	400800	     45	   10.0	43525.0	17410.4	 0.0490	 100.00	 491.70
      5	400800	     45	    6.0	43531.0	21763.8	 0.0409	 100.00	 548.14
      6	400800	     45	   12.0	43527.0	24872.9	 0.0398	 100.00	 593.04
      7	400800	     45	    8.0	43531.0	27205.1	 0.0348	 100.00	 631.66
      8	400800	     45	   10.0	43525.0	29018.4	 0.0310	 100.00	 675.44
      9	400800	     45	    6.0	43527.0	30469.3	 0.0279	 100.00	 714.92
     10	400800	     45	    8.0	43531.0	31656.7	 0.0254	 100.00	 749.27
     11	400800	     45	   12.0	43527.0	32645.9	 0.0267	 100.00	 780.68
     12	400800	     45	   12.0	43527.0	33482.9	 0.0309	 100.00	 808.77
     13	400800	     45	    8.0	43527.0	34200.4	 0.0287	 100.00	 834.89
     14	400800	     45	    8.0	43531.0	34822.4	 0.0276	 100.00	 858.53
     15	400800	     45	    6.0	43533.0	35366.8	 0.0259	 100.00	 880.35
     16	400800	     45	   12.0	43525.0	35846.7	 0.0269	 100.00	 900.23
     17	400800	     45	    8.0	43529.0	36273.5	 0.0266	 100.00	 918.87
     18	400800	     45	   10.0	43527.0	36655.3	 0.0252	 100.00	 935.31
     19	400800	     45	    6.0	43533.0	36999.2	 0.0241	 100.00	 951.27
     20	400800	     45	   10.0	43531.0	37310.2	 0.0242	 100.00	 965.86
     21	400800	     45	   16.0	43527.0	37592.8	 0.0247	 100.00	 979.74
     22	400800	     45	    8.0	43527.0	37850.8	 0.0236	 100.00	 992.44
     23	400800	     45	    6.0	43533.0	38087.5	 0.0228	 100.00	1004.72
