./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	400144	    112	42316.0	42316.0	42316.0	 0.2360	 100.00	  21.98
      1	4007e8	    112	 1189.0	43501.0	21750.5	 0.2164	 100.00	 188.42
      2	4007e8	    112	   20.0	43501.0	14500.3	 0.1454	 100.00	 322.76
      3	4007e8	    112	   25.0	43506.0	10876.5	 0.1134	 100.00	 436.70
      4	4007e8	    112	   15.0	43501.0	17401.4	 0.1019	 100.00	 533.51
      5	4007e8	    112	   25.0	43496.0	21750.5	 0.0964	 100.00	 616.67
      6	4007e8	    112	   30.0	43506.0	24858.4	 0.0857	 100.00	 689.22
      7	4007e8	    112	   20.0	43506.0	27189.4	 0.0835	 100.00	 752.84
      8	4007e8	    112	   15.0	43501.0	29001.8	 0.0752	 100.00	 809.07
      9	4007e8	    112	   35.0	43496.0	30451.2	 0.0785	 100.00	 859.21
     10	4007e8	    112	   20.0	43496.0	31637.1	 0.0719	 100.00	 904.01
     11	4007e8	    112	   35.0	43511.0	32626.6	 0.0740	 100.00	 944.04
     12	4007e8	    112	   15.0	43506.0	33463.5	 0.0701	 100.00	 981.01
     13	4007e8	    112	   25.0	43501.0	34180.4	 0.0668	 100.00	1014.58
     14	4007e8	    112	   25.0	43506.0	34802.1	 0.0643	 100.00	1045.09
     15	4007e8	    112	   20.0	43506.0	35346.1	 0.0605	 100.00	1073.12
     16	4007e8	    112	   15.0	43501.0	35825.8	 0.0586	 100.00	1098.95
     17	4007e8	    112	   45.0	43496.0	36251.9	 0.0597	 100.00	1122.89
     18	4007e8	    112	   20.0	43496.0	36633.2	 0.0575	 100.00	1145.01
     19	4007e8	    112	   25.0	43501.0	36976.6	 0.0561	 100.00	1165.49
     20	4007e8	    112	   15.0	43496.0	37287.0	 0.0534	 100.00	1184.71
     21	4007e8	    112	   25.0	43491.0	37569.0	 0.0544	 100.00	1202.56
     22	4007e8	    112	   40.0	43511.0	37827.4	 0.0561	 100.00	1219.31
     23	4007e8	    112	   20.0	43511.0	38064.2	 0.0541	 100.00	1234.99
     24	4007e8	    112	   15.0	43506.0	38281.9	 0.0542	 100.00	1249.81
     25	4007e8	    112	   35.0	43501.0	38482.6	 0.0540	 100.00	1263.72
     26	4007e8	    112	   20.0	43501.0	38668.5	 0.0520	 100.00	1276.82
     27	4007e8	    112	   30.0	43511.0	38841.4	 0.0518	 100.00	1289.18
     28	4007e8	    112	   15.0	43506.0	39002.3	 0.0500	 100.00	1300.90
     29	4007e8	    112	   25.0	43501.0	39152.2	 0.0490	 100.00	1311.95
     30	4007e8	    112	   25.0	43506.0	39292.7	 0.0480	 100.00	1322.54
     31	4007e8	    112	   20.0	43506.0	39424.3	 0.0466	 100.00	1332.49
     32	4007e8	    112	   15.0	43501.0	39547.9	 0.0482	 100.00	1341.89
     33	4007e8	    112	   55.0	43496.0	39664.0	 0.0504	 100.00	1350.96
     34	4007e8	    112	   20.0	43496.0	39773.5	 0.0491	 100.00	1359.67
     35	4007e8	    112	   25.0	43501.0	39877.0	 0.0480	 100.00	1367.97
     36	4007e8	    112	   15.0	43496.0	39974.8	 0.0467	 100.00	1375.93
     37	4007e8	    112	   25.0	43491.0	40067.4	 0.0470	 100.00	1383.45
     38	4007e8	    112	   30.0	43501.0	40155.4	 0.0460	 100.00	1390.69
     39	4007e8	    112	   20.0	43501.0	40239.1	 0.0449	 100.00	1397.62
     40	4007e8	    112	   15.0	43496.0	40318.5	 0.0438	 100.00	1404.28
     41	4007e8	    112	   35.0	43491.0	40394.0	 0.0442	 100.00	1410.63
     42	4007e8	    112	   20.0	43491.0	40466.0	 0.0431	 100.00	1416.77
     43	4007e8	    112	   30.0	43521.0	40535.5	 0.0467	 100.00	1422.56
     44	4007e8	    112	   20.0	43511.0	40601.6	 0.0465	 100.00	1427.99
     45	4007e8	    112	   15.0	43516.0	40665.0	 0.0456	 100.00	1433.36
     46	4007e8	    112	   35.0	43511.0	40725.5	 0.0448	 100.00	1438.84
     47	4007e8	    112	   15.0	43516.0	40783.6	 0.0443	 100.00	1444.05
     48	4007e8	    112	   20.0	43506.0	40839.2	 0.0460	 100.00	1449.08
     49	4007e8	    112	   25.0	43521.0	40892.8	 0.0465	 100.00	1453.70
     50	4007e8	    112	   40.0	43501.0	40944.0	 0.0472	 100.00	1458.35
