./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	400144	     87	42280.0	42280.0	42280.0	 0.0563	 100.00	   1.36
      1	4007ed	     87	 1153.0	43431.0	21715.5	 0.1298	 100.00	   2.42
      2	4007ed	     87	    9.0	43432.0	14477.3	 0.0904	 100.00	   3.42
      3	4007ed	     87	    4.0	43436.0	10859.0	 0.0678	 100.00	   4.38
      4	4007ed	     87	   12.0	43432.0	17373.6	 0.0542	 100.00	   5.29
      5	4007ed	     87	    4.0	43436.0	21717.3	 0.0452	 100.00	   6.14
      6	4007ed	     87	    8.0	43436.0	24820.0	 0.0387	 100.00	   6.96
      7	4007ed	     87	    4.0	43440.0	27147.5	 0.0339	 100.00	   7.74
      8	4007ed	     87	   16.0	43432.0	28956.9	 0.0301	 100.00	   8.50
      9	4007ed	     87	    4.0	43436.0	30404.8	 0.0271	 100.00	   9.22
     10	4007ed	     87	    8.0	43436.0	31589.5	 0.0247	 100.00	   9.91
     11	4007ed	     87	    4.0	43440.0	32577.0	 0.0226	 100.00	  10.56
     12	4007ed	     87	   12.0	43436.0	33412.3	 0.0227	 100.00	  11.19
     13	4007ed	     87	    4.0	43440.0	34128.6	 0.0211	 100.00	  11.80
     14	4007ed	     87	    8.0	43440.0	34749.3	 0.0198	 100.00	  12.38
     15	4007ed	     87	    4.0	43444.0	35292.8	 0.0185	 100.00	  12.94
     16	4007ed	     87	   20.0	43432.0	35771.5	 0.0197	 100.00	  13.48
     17	4007ed	     87	    4.0	43436.0	36197.3	 0.0186	 100.00	  13.99
     18	4007ed	     87	    8.0	43436.0	36578.3	 0.0176	 100.00	  14.49
     19	4007ed	     87	    4.0	43440.0	36921.4	 0.0167	 100.00	  14.97
     20	4007ed	     87	   12.0	43436.0	37231.6	 0.0159	 100.00	  15.44
     21	4007ed	     87	    4.0	43440.0	37513.8	 0.0152	 100.00	  15.89
     22	4007ed	     87	    8.0	43440.0	37771.5	 0.0145	 100.00	  16.33
     23	4007ed	     87	    4.0	43444.0	38007.8	 0.0139	 100.00	  16.74
     24	4007ed	     87	   16.0	43436.0	38225.0	 0.0146	 100.00	  17.15
     25	4007ed	     87	    4.0	43440.0	38425.5	 0.0141	 100.00	  17.54
     26	4007ed	     87	    8.0	43440.0	38611.3	 0.0135	 100.00	  17.92
     27	4007ed	     87	    4.0	43444.0	38783.9	 0.0131	 100.00	  18.30
     28	4007ed	     87	   12.0	43440.0	38944.4	 0.0126	 100.00	  18.65
     29	4007ed	     87	    4.0	43444.0	39094.4	 0.0131	 100.00	  18.99
     30	4007ed	     87	    8.0	43444.0	39234.7	 0.0127	 100.00	  19.33
     31	4007ed	     87	    4.0	43448.0	39366.4	 0.0123	 100.00	  19.65
     32	4007ed	     87	   24.0	43432.0	39489.6	 0.0133	 100.00	  19.97
     33	4007ed	     87	    4.0	43436.0	39605.6	 0.0129	 100.00	  20.29
     34	4007ed	     87	    8.0	43436.0	39715.1	 0.0126	 100.00	  20.59
     35	4007ed	     87	    4.0	43440.0	39818.6	 0.0122	 100.00	  20.86
     36	4007ed	     87	   12.0	43436.0	39916.3	 0.0119	 100.00	  21.14
     37	4007ed	     87	    4.0	43440.0	40009.1	 0.0116	 100.00	  21.41
     38	4007ed	     87	    8.0	43440.0	40097.0	 0.0113	 100.00	  21.68
     39	4007ed	     87	    4.0	43444.0	40180.7	 0.0110	 100.00	  21.95
     40	4007ed	     87	   16.0	43436.0	40260.1	 0.0107	 100.00	  22.20
     41	4007ed	     87	    4.0	43440.0	40335.8	 0.0105	 100.00	  22.43
     42	4007ed	     87	    8.0	43440.0	40408.0	 0.0102	 100.00	  22.67
     43	4007ed	     87	    4.0	43444.0	40477.0	 0.0100	 100.00	  22.91
     44	4007ed	     87	   12.0	43440.0	40542.8	 0.0098	 100.00	  23.14
     45	4007ed	     87	    4.0	43444.0	40605.9	 0.0096	 100.00	  23.36
     46	4007ed	     87	    8.0	43444.0	40666.3	 0.0094	 100.00	  23.58
     47	4007ed	     87	    4.0	43448.0	40724.2	 0.0092	 100.00	  23.78
     48	4007ed	     87	   20.0	43436.0	40779.6	 0.0094	 100.00	  24.00
     49	4007ed	     87	    4.0	43440.0	40832.8	 0.0093	 100.00	  24.20
     50	4007ed	     87	    8.0	43440.0	40883.9	 0.0091	 100.00	  24.40
     51	4007ed	     87	    4.0	43444.0	40933.2	 0.0089	 100.00	  24.60
     52	4007ed	     87	   12.0	43440.0	40980.5	 0.0087	 100.00	  24.79
     53	4007ed	     87	    4.0	43444.0	41026.1	 0.0086	 100.00	  24.97
     54	4007ed	     87	    8.0	43444.0	41070.0	 0.0084	 100.00	  25.15
     55	4007ed	     87	    4.0	43448.0	41112.5	 0.0083	 100.00	  25.33
     56	4007ed	     87	   16.0	43440.0	41153.3	 0.0083	 100.00	  25.50
     57	4007ed	     87	    4.0	43444.0	41192.8	 0.0081	 100.00	  25.67
     58	4007ed	     87	    8.0	43444.0	41231.0	 0.0080	 100.00	  25.84
     59	4007ed	     87	    4.0	43448.0	41267.9	 0.0079	 100.00	  25.99
     60	4007ed	     87	   12.0	43444.0	41303.6	 0.0083	 100.00	  26.15
     61	4007ed	     87	    4.0	43448.0	41338.2	 0.0082	 100.00	  26.31
     62	4007ed	     87	    8.0	43448.0	41371.7	 0.0081	 100.00	  26.47
     63	4007ed	     87	    4.0	43452.0	41404.2	 0.0080	 100.00	  26.62
     64	4007ed	     87	   28.0	43432.0	41435.4	 0.0089	 100.00	  26.77
     65	4007ed	     87	    4.0	43436.0	41465.7	 0.0088	 100.00	  26.91
     66	4007ed	     87	    8.0	43436.0	41495.1	 0.0086	 100.00	  27.05
     67	4007ed	     87	    4.0	43440.0	41523.7	 0.0085	 100.00	  27.19
     68	4007ed	     87	   12.0	43436.0	41551.4	 0.0084	 100.00	  27.33
     69	4007ed	     87	    4.0	43440.0	41578.4	 0.0083	 100.00	  27.46
     70	4007ed	     87	    8.0	43440.0	41604.6	 0.0082	 100.00	  27.59
     71	4007ed	     87	    4.0	43444.0	41630.2	 0.0080	 100.00	  27.70
     72	4007ed	     87	   16.0	43436.0	41654.9	 0.0079	 100.00	  27.83
     73	4007ed	     87	    4.0	43440.0	41679.0	 0.0078	 100.00	  27.96
     74	4007ed	     87	    8.0	43440.0	41702.5	 0.0077	 100.00	  28.07
     75	4007ed	     87	    4.0	43444.0	41725.4	 0.0076	 100.00	  28.19
     76	4007ed	     87	   12.0	43440.0	41747.7	 0.0075	 100.00	  28.31
     77	4007ed	     87	    4.0	43444.0	41769.4	 0.0074	 100.00	  28.41
     78	4007ed	     87	    8.0	43444.0	41790.6	 0.0073	 100.00	  28.53
     79	4007ed	     87	    4.0	43448.0	41811.3	 0.0072	 100.00	  28.64
     80	4007ed	     87	   20.0	43436.0	41831.4	 0.0074	 100.00	  28.75
     81	4007ed	     87	    4.0	43440.0	41851.0	 0.0073	 100.00	  28.86
     82	4007ed	     87	    8.0	43440.0	41870.2	 0.0072	 100.00	  28.97
     83	4007ed	     87	    4.0	43444.0	41888.9	 0.0072	 100.00	  29.07
     84	4007ed	     87	   12.0	43440.0	41907.2	 0.0071	 100.00	  29.17
     85	4007ed	     87	    4.0	43444.0	41925.0	 0.0070	 100.00	  29.27
     86	4007ed	     87	    8.0	43444.0	41942.5	 0.0069	 100.00	  29.37
     87	4007ed	     87	    4.0	43448.0	41959.6	 0.0068	 100.00	  29.47
     88	4007ed	     87	   16.0	43440.0	41976.2	 0.0069	 100.00	  29.57
     89	4007ed	     87	    4.0	43444.0	41992.5	 0.0068	 100.00	  29.65
     90	4007ed	     87	    8.0	43444.0	42008.5	 0.0067	 100.00	  29.75
     91	4007ed	     87	    4.0	43448.0	42024.1	 0.0067	 100.00	  29.84
     92	4007ed	     87	   12.0	43444.0	42039.4	 0.0066	 100.00	  29.93
     93	4007ed	     87	    4.0	43448.0	42054.4	 0.0065	 100.00	  30.02
     94	4007ed	     87	    8.0	43448.0	42069.1	 0.0066	 100.00	  30.11
     95	4007ed	     87	    4.0	43452.0	42083.5	 0.0065	 100.00	  30.19
     96	4007ed	     87	   24.0	43436.0	42097.4	 0.0069	 100.00	  30.28
     97	4007ed	     87	    4.0	43440.0	42111.1	 0.0068	 100.00	  30.36
     98	4007ed	     87	    8.0	43440.0	42124.5	 0.0067	 100.00	  30.45
     99	4007ed	     87	    4.0	43444.0	42137.7	 0.0067	 100.00	  30.53
    100	4007ed	     87	   12.0	43440.0	42150.6	 0.0066	 100.00	  30.61
    101	4007ed	     87	    4.0	43444.0	42163.3	 0.0065	 100.00	  30.68
    102	4007ed	     87	    8.0	43444.0	42175.7	 0.0065	 100.00	  30.76
    103	4007ed	     87	    4.0	43448.0	42188.0	 0.0064	 100.00	  30.84
    104	4007ed	     87	   16.0	43440.0	42199.9	 0.0063	 100.00	  30.92
    105	4007ed	     87	    4.0	43444.0	42211.6	 0.0063	 100.00	  30.99
    106	4007ed	     87	    8.0	43444.0	42223.1	 0.0062	 100.00	  31.07
    107	4007ed	     87	    4.0	43448.0	42234.5	 0.0062	 100.00	  31.13
    108	4007ed	     87	   12.0	43444.0	42245.6	 0.0061	 100.00	  31.20
