./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	400144	     39	42270.0	42270.0	42270.0	 0.0576	 100.00	   2.80
      1	4007f6	     39	 1214.0	43482.0	21741.0	 0.1203	 100.00	   4.75
      2	4007f6	     39	    5.0	43483.0	14494.3	 0.0896	 100.00	   6.47
      3	4007f6	     39	    2.0	43485.0	10871.2	 0.0672	 100.00	   7.99
      4	4007f6	     39	    6.0	43483.0	17393.6	 0.0560	 100.00	   9.34
      5	4007f6	     39	    2.0	43485.0	21742.2	 0.0466	 100.00	  10.57
      6	4007f6	     39	    4.0	43485.0	24848.3	 0.0400	 100.00	  11.67
      7	4007f6	     39	    2.0	43487.0	27178.1	 0.0350	 100.00	  12.67
      8	4007f6	     39	    8.0	43483.0	28989.8	 0.0369	 100.00	  13.64
      9	4007f6	     39	    2.0	43485.0	30439.3	 0.0332	 100.00	  14.68
     10	4007f6	     39	    4.0	43485.0	31625.3	 0.0302	 100.00	  15.66
     11	4007f6	     39	    2.0	43487.0	32613.8	 0.0277	 100.00	  16.59
     12	4007f6	     39	    6.0	43485.0	33450.0	 0.0256	 100.00	  17.47
     13	4007f6	     39	    2.0	43487.0	34166.9	 0.0237	 100.00	  18.31
     14	4007f6	     39	    4.0	43487.0	34788.3	 0.0222	 100.00	  19.10
     15	4007f6	     39	    2.0	43489.0	35332.1	 0.0208	 100.00	  19.83
     16	4007f6	     39	   10.0	43483.0	35811.5	 0.0207	 100.00	  20.54
     17	4007f6	     39	    2.0	43485.0	36237.8	 0.0196	 100.00	  21.22
     18	4007f6	     39	    4.0	43485.0	36619.3	 0.0186	 100.00	  21.88
     19	4007f6	     39	    2.0	43487.0	36962.7	 0.0176	 100.00	  22.50
     20	4007f6	     39	    6.0	43485.0	37273.2	 0.0168	 100.00	  23.09
     21	4007f6	     39	    2.0	43487.0	37555.7	 0.0160	 100.00	  23.67
     22	4007f6	     39	    4.0	43487.0	37813.6	 0.0153	 100.00	  24.19
     23	4007f6	     39	    2.0	43489.0	38050.0	 0.0147	 100.00	  24.71
     24	4007f6	     39	    8.0	43485.0	38267.4	 0.0142	 100.00	  25.21
     25	4007f6	     39	    2.0	43487.0	38468.2	 0.0137	 100.00	  25.69
     26	4007f6	     39	    4.0	43487.0	38654.1	 0.0132	 100.00	  26.16
     27	4007f6	     39	    2.0	43489.0	38826.8	 0.0127	 100.00	  26.60
     28	4007f6	     39	    6.0	43487.0	38987.4	 0.0125	 100.00	  27.03
     29	4007f6	     39	    2.0	43489.0	39137.5	 0.0121	 100.00	  27.39
     30	4007f6	     39	    4.0	43489.0	39277.9	 0.0118	 100.00	  27.78
     31	4007f6	     39	    2.0	43491.0	39409.5	 0.0117	 100.00	  28.17
     32	4007f6	     39	   12.0	43483.0	39533.0	 0.0129	 100.00	  28.54
     33	4007f6	     39	    2.0	43485.0	39649.2	 0.0125	 100.00	  28.90
     34	4007f6	     39	    4.0	43485.0	39758.8	 0.0122	 100.00	  29.25
     35	4007f6	     39	    2.0	43487.0	39862.4	 0.0118	 100.00	  29.59
     36	4007f6	     39	    6.0	43485.0	39960.3	 0.0115	 100.00	  29.90
     37	4007f6	     39	    2.0	43487.0	40053.1	 0.0112	 100.00	  30.20
     38	4007f6	     39	    4.0	43487.0	40141.1	 0.0109	 100.00	  30.51
     39	4007f6	     39	    2.0	43489.0	40224.8	 0.0107	 100.00	  30.80
