./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	400144	     39	42269.0	42269.0	42269.0	 0.0536	 100.00	   2.69
      1	40081c	     39	 1214.0	43477.0	21738.5	 0.1201	 100.00	   4.59
      2	40081c	     39	    5.0	43478.0	14492.7	 0.0903	 100.00	   6.26
      3	40081c	     39	    2.0	43480.0	10870.0	 0.0678	 100.00	   7.76
      4	40081c	     39	    6.0	43478.0	17391.6	 0.0609	 100.00	   9.25
      5	40081c	     39	    2.0	43480.0	21739.7	 0.0507	 100.00	  10.65
      6	40081c	     39	    4.0	43480.0	24845.4	 0.0435	 100.00	  11.95
      7	40081c	     39	    2.0	43482.0	27175.0	 0.0380	 100.00	  13.16
      8	40081c	     39	    8.0	43478.0	28986.4	 0.0371	 100.00	  14.30
      9	40081c	     39	    2.0	43480.0	30435.8	 0.0334	 100.00	  15.37
     10	40081c	     39	    4.0	43480.0	31621.6	 0.0304	 100.00	  16.35
     11	40081c	     39	    2.0	43482.0	32610.0	 0.0278	 100.00	  17.30
     12	40081c	     39	    6.0	43480.0	33446.2	 0.0259	 100.00	  18.19
     13	40081c	     39	    2.0	43482.0	34163.0	 0.0241	 100.00	  19.04
     14	40081c	     39	    4.0	43482.0	34784.3	 0.0225	 100.00	  19.84
     15	40081c	     39	    2.0	43484.0	35328.0	 0.0211	 100.00	  20.60
     16	40081c	     39	   10.0	43478.0	35807.4	 0.0202	 100.00	  21.32
     17	40081c	     39	    2.0	43480.0	36233.7	 0.0191	 100.00	  21.99
     18	40081c	     39	    4.0	43480.0	36615.1	 0.0181	 100.00	  22.64
     19	40081c	     39	    2.0	43482.0	36958.4	 0.0172	 100.00	  23.26
     20	40081c	     39	    6.0	43480.0	37269.0	 0.0164	 100.00	  23.86
     21	40081c	     39	    2.0	43482.0	37551.4	 0.0156	 100.00	  24.43
     22	40081c	     39	    4.0	43482.0	37809.2	 0.0150	 100.00	  24.97
     23	40081c	     39	    2.0	43484.0	38045.7	 0.0143	 100.00	  25.49
     24	40081c	     39	    8.0	43480.0	38263.0	 0.0150	 100.00	  25.96
     25	40081c	     39	    2.0	43482.0	38463.8	 0.0144	 100.00	  26.44
     26	40081c	     39	    4.0	43482.0	38649.6	 0.0139	 100.00	  26.90
     27	40081c	     39	    2.0	43484.0	38822.3	 0.0134	 100.00	  27.35
     28	40081c	     39	    6.0	43482.0	38983.0	 0.0168	 100.00	  27.77
     29	40081c	     39	    2.0	43484.0	39133.0	 0.0162	 100.00	  28.17
     30	40081c	     39	    4.0	43484.0	39273.4	 0.0159	 100.00	  28.57
     31	40081c	     39	    2.0	43486.0	39405.0	 0.0155	 100.00	  28.95
     32	40081c	     39	   12.0	43478.0	39528.4	 0.0164	 100.00	  29.28
     33	40081c	     39	    2.0	43480.0	39644.6	 0.0159	 100.00	  29.63
     34	40081c	     39	    4.0	43480.0	39754.2	 0.0155	 100.00	  29.97
     35	40081c	     39	    2.0	43482.0	39857.8	 0.0150	 100.00	  30.30
     36	40081c	     39	    6.0	43480.0	39955.7	 0.0147	 100.00	  30.62
