./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	400144	     30	42269.0	42269.0	42269.0	 0.1732	 100.00	  86.02
      1	4007fa	     30	 1228.0	43493.0	21746.5	 0.2097	 100.00	 480.77
      2	4007fa	     30	    8.0	43493.0	14497.7	 0.1443	 100.00	 677.98
      3	4007fa	     30	   10.0	43495.0	10873.8	 0.1301	 100.00	 839.08
      4	4007fa	     30	    6.0	43493.0	17397.6	 0.1287	 100.00	 959.41
      5	4007fa	     30	   10.0	43491.0	21746.5	 0.1388	 100.00	1051.28
      6	4007fa	     30	   12.0	43495.0	24853.4	 0.1370	 100.00	1122.18
      7	4007fa	     30	    8.0	43495.0	27183.6	 0.1288	 100.00	1180.29
      8	4007fa	     30	    6.0	43493.0	28995.8	 0.1213	 100.00	1228.19
      9	4007fa	     30	   14.0	43491.0	30445.3	 0.1239	 100.00	1268.00
     10	4007fa	     30	    8.0	43491.0	31631.3	 0.1154	 100.00	1302.15
     11	4007fa	     30	   14.0	43497.0	32620.1	 0.1172	 100.00	1331.61
     12	4007fa	     30	    6.0	43495.0	33456.6	 0.1128	 100.00	1356.80
