./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	400144	     30	42270.0	42270.0	42270.0	 0.2210	 100.00	  42.82
      1	4007fe	     30	 1229.0	43497.0	21748.5	 0.2428	 100.00	 462.83
      2	4007fe	     30	    8.0	43497.0	14499.0	 0.2192	 100.00	 712.15
      3	4007fe	     30	   10.0	43499.0	10874.8	 0.2024	 100.00	 877.71
      4	4007fe	     30	    6.0	43497.0	17399.2	 0.1969	 100.00	 995.06
      5	4007fe	     30	   10.0	43495.0	21748.5	 0.1907	 100.00	1085.01
      6	4007fe	     30	   12.0	43499.0	24855.7	 0.1868	 100.00	1155.30
      7	4007fe	     30	    8.0	43499.0	27186.1	 0.1768	 100.00	1210.90
      8	4007fe	     30	    6.0	43497.0	28998.4	 0.1692	 100.00	1256.81
      9	4007fe	     30	   14.0	43495.0	30448.1	 0.1773	 100.00	1295.94
     10	4007fe	     30	    8.0	43495.0	31634.2	 0.1707	 100.00	1328.82
     11	4007fe	     30	   14.0	43501.0	32623.1	 0.1724	 100.00	1357.29
     12	4007fe	     30	    6.0	43499.0	33459.7	 0.1708	 100.00	1381.95
