./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	40010c	     17	12752.0	12752.0	12752.0	 0.3449	 100.00	0.10981
      1	40013f	     17	  307.0	13055.0	 6527.5	 0.1848	 100.00	0.47752
      2	40013f	     17	    4.0	13055.0	 4351.7	 0.1311	 100.00	0.74149
      3	40013f	     17	    6.0	13057.0	 3264.2	 0.0992	 100.00	0.98058
      4	40013f	     17	    3.0	13056.0	 5222.6	 0.0875	 100.00	   1.18
      5	40013f	     17	    6.0	13054.0	 6527.8	 0.0764	 100.00	   1.36
      6	40013f	     17	    6.0	13056.0	 7460.4	 0.0656	 100.00	   1.51
      7	40013f	     17	    4.0	13056.0	 8159.9	 0.0600	 100.00	   1.63
      8	40013f	     17	    4.0	13056.0	 8703.9	 0.0595	 100.00	   1.75
      9	40013f	     17	    7.0	13055.0	 9139.0	 0.0564	 100.00	   1.86
     10	40013f	     17	    5.0	13054.0	 9494.9	 0.0520	 100.00	   1.96
     11	40013f	     17	    7.0	13057.0	 9791.8	 0.0562	 100.00	   2.06
     12	40013f	     17	    4.0	13057.0	10042.9	 0.0558	 100.00	   2.15
     13	40013f	     17	    6.0	13055.0	10258.1	 0.0544	 100.00	   2.23
     14	40013f	     17	    5.0	13056.0	10444.6	 0.0510	 100.00	   2.30
     15	40013f	     17	    5.0	13057.0	10607.9	 0.0479	 100.00	   2.37
     16	40013f	     17	    4.0	13055.0	10751.8	 0.0458	 100.00	   2.45
     17	40013f	     17	   10.0	13055.0	10879.8	 0.0483	 100.00	   2.53
     18	40013f	     17	    4.0	13055.0	10994.3	 0.0461	 100.00	   2.59
     19	40013f	     17	    6.0	13055.0	11097.3	 0.0441	 100.00	   2.66
     20	40013f	     17	    3.0	13054.0	11190.5	 0.0444	 100.00	   2.72
     21	40013f	     17	    6.0	13054.0	11275.2	 0.0425	 100.00	   2.78
     22	40013f	     17	    8.0	13058.0	11352.7	 0.0427	 100.00	   2.83
     23	40013f	     17	    4.0	13058.0	11423.8	 0.0423	 100.00	   2.88
     24	40013f	     17	    4.0	13056.0	11489.0	 0.0425	 100.00	   2.93
     25	40013f	     17	    7.0	13055.0	11549.3	 0.0413	 100.00	   2.98
     26	40013f	     17	    5.0	13056.0	11605.1	 0.0398	 100.00	   3.03
     27	40013f	     17	    6.0	13058.0	11657.0	 0.0396	 100.00	   3.07
     28	40013f	     17	    4.0	13056.0	11705.2	 0.0399	 100.00	   3.11
     29	40013f	     17	    6.0	13056.0	11750.2	 0.0390	 100.00	   3.15
     30	40013f	     17	    5.0	13057.0	11792.4	 0.0378	 100.00	   3.19
     31	40013f	     17	    5.0	13056.0	11831.9	 0.0386	 100.00	   3.22
     32	40013f	     17	    4.0	13056.0	11869.0	 0.0390	 100.00	   3.26
     33	40013f	     17	   12.0	13054.0	11903.8	 0.0394	 100.00	   3.29
     34	40013f	     17	    4.0	13054.0	11936.7	 0.0382	 100.00	   3.32
     35	40013f	     17	    6.0	13056.0	11967.8	 0.0378	 100.00	   3.35
     36	40013f	     17	    3.0	13055.0	11997.2	 0.0383	 100.00	   3.38
     37	40013f	     17	    6.0	13053.0	12024.9	 0.0373	 100.00	   3.41
     38	40013f	     17	    6.0	13055.0	12051.4	 0.0371	 100.00	   3.44
     39	40013f	     17	    4.0	13055.0	12076.5	 0.0372	 100.00	   3.47
     40	40013f	     17	    4.0	13055.0	12100.3	 0.0363	 100.00	   3.49
     41	40013f	     17	    7.0	13054.0	12123.0	 0.0358	 100.00	   3.52
     42	40013f	     17	    5.0	13053.0	12144.7	 0.0350	 100.00	   3.54
     43	40013f	     17	    6.0	13059.0	12165.4	 0.0403	 100.00	   3.56
     44	40013f	     17	    5.0	13058.0	12185.3	 0.0407	 100.00	   3.59
     45	40013f	     17	    4.0	13058.0	12204.2	 0.0399	 100.00	   3.61
     46	40013f	     17	    7.0	13057.0	12222.4	 0.0404	 100.00	   3.63
     47	40013f	     17	    4.0	13059.0	12239.8	 0.0398	 100.00	   3.65
     48	40013f	     17	    5.0	13056.0	12256.5	 0.0399	 100.00	   3.67
     49	40013f	     17	    6.0	13060.0	12272.5	 0.0391	 100.00	   3.69
     50	40013f	     17	    8.0	13056.0	12287.9	 0.0417	 100.00	   3.70
     51	40013f	     17	    5.0	13057.0	12302.7	 0.0410	 100.00	   3.72
     52	40013f	     17	    4.0	13055.0	12316.9	 0.0413	 100.00	   3.74
     53	40013f	     17	    4.0	13057.0	12330.6	 0.0405	 100.00	   3.76
     54	40013f	     17	    9.0	13058.0	12343.8	 0.0413	 100.00	   3.77
     55	40013f	     17	    3.0	13059.0	12356.6	 0.0414	 100.00	   3.79
     56	40013f	     17	    5.0	13056.0	12368.9	 0.0408	 100.00	   3.80
     57	40013f	     17	    4.0	13058.0	12380.7	 0.0401	 100.00	   3.82
     58	40013f	     17	    8.0	13056.0	12392.2	 0.0400	 100.00	   3.83
     59	40013f	     17	    5.0	13059.0	12403.3	 0.0409	 100.00	   3.85
     60	40013f	     17	    5.0	13056.0	12414.0	 0.0404	 100.00	   3.86
     61	40013f	     17	    4.0	13058.0	12424.4	 0.0398	 100.00	   3.88
     62	40013f	     17	    7.0	13057.0	12434.4	 0.0394	 100.00	   3.89
     63	40013f	     17	    4.0	13057.0	12444.2	 0.0388	 100.00	   3.90
     64	40013f	     17	    5.0	13056.0	12453.6	 0.0388	 100.00	   3.92
     65	40013f	     17	    8.0	13060.0	12462.8	 0.0390	 100.00	   3.93
     66	40013f	     17	   10.0	13054.0	12471.6	 0.0426	 100.00	   3.94
     67	40013f	     17	    5.0	13057.0	12480.2	 0.0425	 100.00	   3.95
     68	40013f	     17	    4.0	13055.0	12488.5	 0.0425	 100.00	   3.96
     69	40013f	     17	    4.0	13055.0	12496.6	 0.0420	 100.00	   3.97
     70	40013f	     17	    8.0	13055.0	12504.5	 0.0415	 100.00	   3.98
     71	40013f	     17	    3.0	13056.0	12512.1	 0.0410	 100.00	   4.00
     72	40013f	     17	    5.0	13055.0	12519.6	 0.0405	 100.00	   4.01
     73	40013f	     17	    4.0	13057.0	12526.8	 0.0400	 100.00	   4.02
     74	40013f	     17	    8.0	13053.0	12533.9	 0.0395	 100.00	   4.03
     75	40013f	     17	    6.0	13057.0	12540.7	 0.0395	 100.00	   4.04
     76	40013f	     17	    5.0	13056.0	12547.4	 0.0391	 100.00	   4.04
     77	40013f	     17	    4.0	13056.0	12553.9	 0.0391	 100.00	   4.05
     78	40013f	     17	    7.0	13055.0	12560.3	 0.0391	 100.00	   4.06
     79	40013f	     17	    4.0	13057.0	12566.5	 0.0386	 100.00	   4.07
     80	40013f	     17	    5.0	13054.0	12572.5	 0.0382	 100.00	   4.08
     81	40013f	     17	    6.0	13058.0	12578.4	 0.0385	 100.00	   4.09
     82	40013f	     17	    8.0	13054.0	12584.2	 0.0389	 100.00	   4.09
     83	40013f	     17	    5.0	13055.0	12589.8	 0.0386	 100.00	   4.10
     84	40013f	     17	    4.0	13053.0	12595.2	 0.0387	 100.00	   4.11
     85	40013f	     17	    4.0	13055.0	12600.6	 0.0382	 100.00	   4.12
     86	40013f	     17	    7.0	13060.0	12605.9	 0.0395	 100.00	   4.12
     87	40013f	     17	    5.0	13059.0	12611.0	 0.0391	 100.00	   4.13
     88	40013f	     17	    4.0	13057.0	12616.0	 0.0387	 100.00	   4.14
     89	40013f	     17	    5.0	13058.0	12620.9	 0.0382	 100.00	   4.15
     90	40013f	     17	    5.0	13059.0	12625.7	 0.0379	 100.00	   4.16
     91	40013f	     17	    8.0	13059.0	12630.4	 0.0380	 100.00	   4.16
     92	40013f	     17	    4.0	13057.0	12635.0	 0.0377	 100.00	   4.17
     93	40013f	     17	    5.0	13058.0	12639.5	 0.0379	 100.00	   4.18
     94	40013f	     17	    5.0	13059.0	12643.9	 0.0380	 100.00	   4.19
     95	40013f	     17	    6.0	13057.0	12648.2	 0.0377	 100.00	   4.20
     96	40013f	     17	    4.0	13057.0	12652.5	 0.0381	 100.00	   4.21
     97	40013f	     17	    8.0	13059.0	12656.6	 0.0385	 100.00	   4.21
     98	40013f	     17	    4.0	13059.0	12660.7	 0.0385	 100.00	   4.22
     99	40013f	     17	   10.0	13057.0	12664.6	 0.0388	 100.00	   4.23
    100	40013f	     17	    3.0	13056.0	12668.5	 0.0389	 100.00	   4.24
    101	40013f	     17	    5.0	13055.0	12672.3	 0.0385	 100.00	   4.24
    102	40013f	     17	    6.0	13057.0	12676.0	 0.0382	 100.00	   4.25
    103	40013f	     17	    5.0	13056.0	12679.7	 0.0378	 100.00	   4.26
    104	40013f	     17	    4.0	13056.0	12683.3	 0.0375	 100.00	   4.26
    105	40013f	     17	    5.0	13057.0	12686.8	 0.0372	 100.00	   4.27
    106	40013f	     17	    5.0	13056.0	12690.3	 0.0369	 100.00	   4.28
    107	40013f	     17	   10.0	13058.0	12693.7	 0.0375	 100.00	   4.28
    108	40013f	     17	    4.0	13058.0	12697.0	 0.0373	 100.00	   4.29
