./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	40010c	     52	12758.0	12758.0	12758.0	 0.2020	 100.00	0.10230
      1	400148	     52	  297.0	13049.0	 6524.5	 0.1934	 100.00	0.52887
      2	400148	     52	   15.0	13054.0	 4351.3	 0.2302	 100.00	0.86906
      3	400148	     52	   20.0	13054.0	 3263.5	 0.2329	 100.00	   1.16
      4	400148	     52	   11.0	13053.0	 5221.4	 0.2618	 100.00	   1.41
      5	400148	     52	   28.0	13049.0	 6526.0	 0.2746	 100.00	   1.64
      6	400148	     52	   15.0	13048.0	 7457.7	 0.2638	 100.00	   1.81
      7	400148	     52	   20.0	13052.0	 8157.0	 0.2600	 100.00	   1.97
      8	400148	     52	   19.0	13051.0	 8700.8	 0.2644	 100.00	   2.10
      9	400148	     52	   20.0	13053.0	 9136.0	 0.2758	 100.00	   2.22
     10	400148	     52	   18.0	13047.0	 9491.5	 0.2755	 100.00	   2.33
     11	400148	     52	   19.0	13058.0	 9788.8	 0.2816	 100.00	   2.42
     12	400148	     52	   17.0	13059.0	10040.3	 0.2784	 100.00	   2.53
     13	400148	     52	   24.0	13053.0	10255.5	 0.2713	 100.00	   2.63
     14	400148	     52	   19.0	13060.0	10442.5	 0.2646	 100.00	   2.73
     15	400148	     52	   20.0	13056.0	10605.8	 0.2597	 100.00	   2.82
     16	400148	     52	   11.0	13055.0	10749.9	 0.2604	 100.00	   2.91
     17	400148	     52	   21.0	13054.0	10877.9	 0.2650	 100.00	   2.99
     18	400148	     52	   16.0	13054.0	10992.4	 0.2582	 100.00	   3.06
     19	400148	     52	   18.0	13050.0	11095.3	 0.2633	 100.00	   3.13
     20	400148	     52	   21.0	13055.0	11188.6	 0.2649	 100.00	   3.19
     21	400148	     52	   23.0	13056.0	11273.5	 0.2661	 100.00	   3.25
     22	400148	     52	   29.0	13057.0	11351.0	 0.2669	 100.00	   3.31
