../../../asc/asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	40010c	     34	12557.0	12557.0	12557.0	 0.2705	 100.00	0.17860
      1	40013d	     34	  312.0	12867.0	 6433.5	 0.2566	 100.00	0.74549
      2	40013d	     34	    7.0	12868.0	 4289.3	 0.2034	 100.00	   1.09
      3	40013d	     34	   14.0	12864.0	 3216.0	 0.2216	 100.00	   1.43
      4	40013d	     34	    6.0	12864.0	 5145.6	 0.2092	 100.00	   1.71
      5	40013d	     34	   10.0	12864.0	 6432.0	 0.2053	 100.00	   1.93
      6	40013d	     34	   13.0	12871.0	 7351.9	 0.2013	 100.00	   2.12
      7	40013d	     34	   12.0	12869.0	 8041.5	 0.1970	 100.00	   2.27
      8	40013d	     34	    7.0	12864.0	 8577.3	 0.2062	 100.00	   2.41
      9	40013d	     34	   15.0	12867.0	 9006.3	 0.1925	 100.00	   2.53
     10	40013d	     34	   12.0	12865.0	 9357.1	 0.1931	 100.00	   2.64
     11	40013d	     34	   13.0	12868.0	 9649.7	 0.1884	 100.00	   2.77
     12	40013d	     34	   11.0	12867.0	 9897.2	 0.1865	 100.00	   2.89
     13	40013d	     34	   12.0	12865.0	10109.1	 0.1812	 100.00	   2.99
     14	40013d	     34	   14.0	12869.0	10293.1	 0.1848	 100.00	   3.08
     15	40013d	     34	   13.0	12868.0	10454.1	 0.1891	 100.00	   3.18
     16	40013d	     34	   10.0	12870.0	10596.2	 0.1915	 100.00	   3.26
     17	40013d	     34	   14.0	12868.0	10722.4	 0.1905	 100.00	   3.34
     18	40013d	     34	    9.0	12867.0	10835.3	 0.1890	 100.00	   3.41
     19	40013d	     34	   13.0	12866.0	10936.8	 0.1902	 100.00	   3.47
     20	40013d	     34	   10.0	12870.0	11028.9	 0.1839	 100.00	   3.53
     21	40013d	     34	   14.0	12864.0	11112.3	 0.1858	 100.00	   3.58
     22	40013d	     34	   15.0	12871.0	11188.7	 0.1888	 100.00	   3.63
     23	40013d	     34	   14.0	12867.0	11258.7	 0.1875	 100.00	   3.67
     24	40013d	     34	   15.0	12870.0	11323.1	 0.1899	 100.00	   3.71
     25	40013d	     34	   12.0	12872.0	11382.7	 0.1902	 100.00	   3.75
     26	40013d	     34	   13.0	12865.0	11437.6	 0.1917	 100.00	   3.78
     27	40013d	     34	   15.0	12870.0	11488.8	 0.1934	 100.00	   3.81
     28	40013d	     34	   12.0	12866.0	11536.2	 0.1954	 100.00	   3.84
     29	40013d	     34	   12.0	12868.0	11580.6	 0.1955	 100.00	   3.86
     30	40013d	     34	   13.0	12869.0	11622.2	 0.1968	 100.00	   3.88
     31	40013d	     34	   11.0	12870.0	11661.2	 0.1953	 100.00	   3.90
     32	40013d	     34	   12.0	12866.0	11697.7	 0.1962	 100.00	   3.92
     33	40013d	     34	   18.0	12862.0	11731.9	 0.1985	 100.00	   3.93
     34	40013d	     34	   10.0	12866.0	11764.3	 0.1986	 100.00	   3.93
     35	40013d	     34	   11.0	12867.0	11795.0	 0.1986	 100.00	   3.93
     36	40013d	     34	   13.0	12866.0	11823.9	 0.1972	 100.00	   3.93
     37	40013d	     34	   13.0	12865.0	11851.3	 0.1976	 100.00	   3.94
     38	40013d	     34	   16.0	12869.0	11877.4	 0.1957	 100.00	   3.94
     39	40013d	     34	   14.0	12867.0	11902.1	 0.1970	 100.00	   3.95
     40	40013d	     34	   11.0	12864.0	11925.6	 0.1962	 100.00	   3.96
     41	40013d	     34	   14.0	12866.0	11948.0	 0.1943	 100.00	   3.98
     42	40013d	     34	   10.0	12862.0	11969.3	 0.1935	 100.00	   3.99
     43	40013d	     34	   15.0	12873.0	11989.8	 0.1941	 100.00	   4.01
     44	40013d	     34	   13.0	12872.0	12009.4	 0.1949	 100.00	   4.02
     45	40013d	     34	   10.0	12876.0	12028.2	 0.1961	 100.00	   4.03
     46	40013d	     34	   15.0	12869.0	12046.1	 0.1967	 100.00	   4.04
     47	40013d	     34	    9.0	12870.0	12063.3	 0.1964	 100.00	   4.05
     48	40013d	     34	   13.0	12871.0	12079.8	 0.1982	 100.00	   4.06
     49	40013d	     34	   13.0	12868.0	12095.5	 0.1975	 100.00	   4.07
     50	40013d	     34	   21.0	12871.0	12110.7	 0.1973	 100.00	   4.08
