../../../asc/asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	40010c	     52	12554.0	12554.0	12554.0	 0.2492	 100.00	0.12683
      1	40014f	     52	  297.0	12849.0	 6424.5	 0.2033	 100.00	0.46388
      2	40014f	     52	   15.0	12854.0	 4284.7	 0.2778	 100.00	0.75523
      3	40014f	     52	   20.0	12854.0	 3213.5	 0.2717	 100.00	   1.01
      4	40014f	     52	   11.0	12853.0	 5141.4	 0.3048	 100.00	   1.22
      5	40014f	     52	   28.0	12849.0	 6426.0	 0.3128	 100.00	   1.42
      6	40014f	     52	   15.0	12848.0	 7343.4	 0.3040	 100.00	   1.59
      7	40014f	     52	   20.0	12852.0	 8032.0	 0.3018	 100.00	   1.74
      8	40014f	     52	   19.0	12851.0	 8567.4	 0.2989	 100.00	   1.87
      9	40014f	     52	   20.0	12853.0	 8996.0	 0.3024	 100.00	   2.01
     10	40014f	     52	   18.0	12847.0	 9346.1	 0.2991	 100.00	   2.14
     11	40014f	     52	   19.0	12858.0	 9638.8	 0.2963	 100.00	   2.26
     12	40014f	     52	   17.0	12859.0	 9886.5	 0.2908	 100.00	   2.38
     13	40014f	     52	   24.0	12853.0	10098.4	 0.2826	 100.00	   2.49
     14	40014f	     52	   19.0	12860.0	10282.5	 0.2811	 100.00	   2.59
     15	40014f	     52	   20.0	12856.0	10443.3	 0.2750	 100.00	   2.68
     16	40014f	     52	   11.0	12855.0	10585.2	 0.2771	 100.00	   2.76
     17	40014f	     52	   21.0	12854.0	10711.2	 0.2805	 100.00	   2.84
     18	40014f	     52	   16.0	12854.0	10824.0	 0.2761	 100.00	   2.92
     19	40014f	     52	   18.0	12850.0	10925.3	 0.2800	 100.00	   2.99
     20	40014f	     52	   21.0	12855.0	11017.2	 0.2792	 100.00	   3.04
     21	40014f	     52	   23.0	12856.0	11100.8	 0.2789	 100.00	   3.09
     22	40014f	     52	   29.0	12857.0	11177.1	 0.2829	 100.00	   3.14
     23	40014f	     52	   21.0	12852.0	11246.9	 0.2805	 100.00	   3.19
     24	40014f	     52	    9.0	12857.0	11311.3	 0.2769	 100.00	   3.23
     25	40014f	     52	   21.0	12854.0	11370.7	 0.2775	 100.00	   3.27
     26	40014f	     52	   14.0	12856.0	11425.7	 0.2733	 100.00	   3.31
     27	40014f	     52	   22.0	12858.0	11476.8	 0.2721	 100.00	   3.35
     28	40014f	     52	   12.0	12858.0	11524.4	 0.2699	 100.00	   3.38
     29	40014f	     52	   18.0	12852.0	11568.7	 0.2711	 100.00	   3.41
     30	40014f	     52	   20.0	12848.0	11610.0	 0.2720	 100.00	   3.45
     31	40014f	     52	   19.0	12853.0	11648.8	 0.2696	 100.00	   3.48
     32	40014f	     52	   16.0	12857.0	11685.4	 0.2699	 100.00	   3.51
     33	40014f	     52	   23.0	12860.0	11720.0	 0.2747	 100.00	   3.53
     34	40014f	     52	   17.0	12855.0	11752.4	 0.2748	 100.00	   3.56
     35	40014f	     52	   19.0	12854.0	11783.0	 0.2752	 100.00	   3.59
     36	40014f	     52	   15.0	12853.0	11811.9	 0.2748	 100.00	   3.61
