./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	40010c	     23	12693.0	12693.0	12693.0	 0.1988	 100.00	0.15119
      1	40013d	     23	  307.0	12996.0	 6498.0	 0.1688	 100.00	0.25587
      2	40013d	     23	    7.0	12993.0	 4331.0	 0.1193	 100.00	0.35225
      3	40013d	     23	    9.0	12994.0	 3248.5	 0.1029	 100.00	0.45423
      4	40013d	     23	    9.0	12997.0	 5198.2	 0.0987	 100.00	0.54890
      5	40013d	     23	    6.0	12999.0	 6498.3	 0.0911	 100.00	0.64053
      6	40013d	     23	   12.0	12999.0	 7427.0	 0.0800	 100.00	0.71906
      7	40013d	     23	   14.0	12997.0	 8123.2	 0.0788	 100.00	0.79178
      8	40013d	     23	   12.0	12997.0	 8664.8	 0.0706	 100.00	0.86153
      9	40013d	     23	    7.0	12998.0	 9098.1	 0.0680	 100.00	0.92646
     10	40013d	     23	   12.0	12998.0	 9452.6	 0.0620	 100.00	0.98099
     11	40013d	     23	   11.0	12999.0	 9748.2	 0.0612	 100.00	   1.02
     12	40013d	     23	   15.0	12996.0	 9998.0	 0.0574	 100.00	   1.07
     13	40013d	     23	    6.0	12998.0	10212.3	 0.0570	 100.00	   1.12
     14	40013d	     23	   10.0	13002.0	10398.3	 0.0547	 100.00	   1.18
     15	40013d	     23	    7.0	13003.0	10561.1	 0.0529	 100.00	   1.22
     16	40013d	     23	   16.0	12997.0	10704.4	 0.0583	 100.00	   1.27
     17	40013d	     23	    8.0	12997.0	10831.7	 0.0593	 100.00	   1.31
     18	40013d	     23	   11.0	13002.0	10945.9	 0.0633	 100.00	   1.36
     19	40013d	     23	   11.0	13003.0	11048.8	 0.0613	 100.00	   1.39
     20	40013d	     23	   13.0	13000.0	11141.7	 0.0612	 100.00	   1.43
     21	40013d	     23	   14.0	12996.0	11226.0	 0.0599	 100.00	   1.46
     22	40013d	     23	   14.0	13000.0	11303.1	 0.0583	 100.00	   1.49
     23	40013d	     23	   10.0	12998.0	11373.8	 0.0583	 100.00	   1.53
     24	40013d	     23	   16.0	13002.0	11438.9	 0.0596	 100.00	   1.56
     25	40013d	     23	    9.0	12999.0	11498.9	 0.0580	 100.00	   1.59
     26	40013d	     23	   14.0	12997.0	11554.4	 0.0566	 100.00	   1.62
     27	40013d	     23	   11.0	13000.0	11606.0	 0.0578	 100.00	   1.64
     28	40013d	     23	   14.0	13000.0	11654.1	 0.0572	 100.00	   1.67
     29	40013d	     23	   12.0	13004.0	11699.1	 0.0572	 100.00	   1.70
     30	40013d	     23	   13.0	13001.0	11741.1	 0.0572	 100.00	   1.72
