./asc:main.c:225: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	Logloss	 Misses	   MIPS
      0	400144	     30	    0.0	42324.0	42324.0	 0.0000	    inf	 100.00	0.31163
      1	4007f6	     30	    0.0	 1293.0	  646.5	 0.0000	    inf	 100.00	 230.19
./asc:main.c:284: warning: worker pid `12552' SIGSEGV: bad speculation?
      2	4007f6	     34	    8.0	 1217.0	  405.7	 0.2488	27.3829	 100.00	 501.00
      3	4007f6	     36	   10.0	 1223.0	  305.8	 0.2510	28.1132	 100.00	 585.99
      4	4007f6	     37	   10.0	 1221.0	  488.8	 0.2522	28.3821	 100.00	 660.43
      5	4007f6	     37	    6.0	 1225.0	  611.5	 0.2327	19.0832	 100.00	 673.18
      6	4007f6	     38	   12.0	 1221.0	  698.6	 0.2502	29.7618	 100.00	 766.95
      7	4007f6	     38	    8.0	 1225.0	  764.4	 0.2346	21.2849	 100.00	 768.06
      8	4007f6	     38	   10.0	 1223.0	  815.3	 0.2130	10.6900	 100.00	 807.67
      9	4007f6	     38	    6.0	 1223.0	  856.1	 0.1952	13.9787	 100.00	 838.99
     10	4007f6	     38	    8.0	 1223.0	  889.5	 0.1818	12.7394	 100.00	 865.83
     11	4007f6	     39	   12.0	 1221.0	  917.1	 0.2485	28.9828	 100.00	 906.30
     12	4007f6	     39	   12.0	 1223.0	  940.6	 0.2372	22.7151	 100.00	 912.25
     13	4007f6	     39	    8.0	 1225.0	  960.9	 0.2075	11.2133	 100.00	 932.89
     14	4007f6	     39	    8.0	 1225.0	  978.5	 0.1905	10.7525	 100.00	 955.98
     15	4007f6	     39	    6.0	 1225.0	  993.9	 0.1716	 8.1711	 100.00	 974.55
     16	4007f6	     39	   12.0	 1221.0	 1007.3	 0.1756	22.3196	 100.00	 992.20
     17	4007f6	     39	    8.0	 1225.0	 1019.4	 0.1696	12.9492	 100.00	1008.17
     18	4007f6	     39	   10.0	 1223.0	 1030.1	 0.1560	 5.1903	 100.00	1022.97
     19	4007f6	     39	    6.0	 1227.0	 1040.0	 0.1553	18.8666	 100.00	1035.28
     20	4007f6	     39	   10.0	 1225.0	 1048.8	 0.1505	 7.9205	 100.00	1047.28
     21	4007f6	     40	   16.0	 1225.0	 1056.8	 0.2497	30.2059	 100.00	1066.18
     22	4007f6	     40	    8.0	 1221.0	 1063.9	 0.2369	21.7939	 100.00	1060.96
     23	4007f6	     40	    6.0	 1225.0	 1070.6	 0.2063	10.1630	 100.00	1072.08
     24	4007f6	     40	   10.0	 1223.0	 1076.7	 0.2074	13.1131	 100.00	1081.52
     25	4007f6	     40	    6.0	 1223.0	 1082.3	 0.1880	11.5736	 100.00	1090.78
     26	4007f6	     40	   14.0	 1223.0	 1087.6	 0.1791	13.5495	 100.00	1099.09
     27	4007f6	     40	    6.0	 1223.0	 1092.4	 0.1670	 9.2933	 100.00	1106.84
     28	4007f6	     40	   10.0	 1225.0	 1097.0	 0.1634	15.5571	 100.00	1114.26
     29	4007f6	     40	    8.0	 1227.0	 1101.3	 0.1571	12.2932	 100.00	1120.97
     30	4007f6	     40	   10.0	 1227.0	 1105.4	 0.1492	 6.2527	 100.00	1127.55
     31	4007f6	     40	   12.0	 1225.0	 1109.1	 0.1504	15.8973	 100.00	1133.58
     32	4007f6	     40	    8.0	 1221.0	 1112.5	 0.1497	17.4436	 100.00	1139.57
     33	4007f6	     40	    6.0	 1225.0	 1115.8	 0.1478	14.2135	 100.00	1145.17
     34	4007f6	     40	   10.0	 1223.0	 1118.9	 0.1431	 3.9943	 100.00	1150.63
     35	4007f6	     40	    8.0	 1227.0	 1121.9	 0.1399	 7.6395	 100.00	1155.36
     36	4007f6	     40	   14.0	 1225.0	 1124.6	 0.1411	15.7424	 100.00	1160.09
     37	4007f6	     40	    6.0	 1229.0	 1127.4	 0.1397	16.8945	 100.00	1164.36
     38	4007f6	     40	    8.0	 1225.0	 1129.9	 0.1362	 5.9856	 100.00	1168.65
     39	4007f6	     40	   10.0	 1231.0	 1132.4	 0.1331	 5.6030	 100.00	1172.64
     40	4007f6	     40	    8.0	 1227.0	 1134.7	 0.1347	17.4334	 100.00	1176.60
     41	4007f6	     41	   16.0	 1221.0	 1136.8	 0.2471	28.9034	 100.00	1182.87
     42	4007f6	     41	    8.0	 1221.0	 1138.7	 0.2441	28.7313	 100.00	1180.67
     43	4007f6	     41	    6.0	 1221.0	 1140.6	 0.2161	12.2481	 100.00	1183.75
     44	4007f6	     41	   14.0	 1225.0	 1142.5	 0.1967	 9.8040	 100.00	1187.28
     45	4007f6	     41	    6.0	 1225.0	 1144.3	 0.1836	12.7747	 100.00	1190.40
     46	4007f6	     41	    8.0	 1225.0	 1146.0	 0.1694	 9.1431	 100.00	1192.57
     47	4007f6	     41	   10.0	 1225.0	 1147.6	 0.1666	11.3407	 100.00	1193.40
     48	4007f6	     41	    8.0	 1221.0	 1149.1	 0.1634	17.9125	 100.00	1194.14
     49	4007f6	     41	   10.0	 1227.0	 1150.7	 0.1575	11.6335	 100.00	1195.06
     50	4007f6	     41	    8.0	 1223.0	 1152.1	 0.1473	 5.1016	 100.00	1196.44
     51	4007f6	     41	    6.0	 1227.0	 1153.6	 0.1440	13.0910	 100.00	1197.22
     52	4007f6	     41	   16.0	 1223.0	 1154.9	 0.1486	42.5307	 100.00	1199.16
     53	4007f6	     41	    8.0	 1227.0	 1156.2	 0.1494	14.8422	 100.00	1201.84
     54	4007f6	     41	   10.0	 1225.0	 1157.5	 0.1410	 1.7577	 100.00	1204.26
     55	4007f6	     41	    6.0	 1229.0	 1158.7	 0.1433	15.4791	 100.00	1206.72
     56	4007f6	     41	    8.0	 1225.0	 1159.9	 0.1457	13.0207	 100.00	1209.00
     57	4007f6	     41	   10.0	 1225.0	 1161.0	 0.1428	 6.7876	 100.00	1211.31
