./asc:main.c:225: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	Logloss	 Misses	   MIPS
      0	400144	     30	    0.0	42315.0	42315.0	 0.0000	    inf	 100.00	   1.05
      1	4007fa	     30	    0.0	 1283.0	  641.5	 0.0000	    inf	 100.00	 220.87
./asc:main.c:284: warning: worker pid `12564' SIGSEGV: bad speculation?
      2	4007fa	     34	    8.0	 1219.0	  406.3	 0.2491	26.4412	 100.00	 447.69
      3	4007fa	     36	   10.0	 1225.0	  306.2	 0.2494	28.4027	 100.00	 524.43
      4	4007fa	     37	   10.0	 1223.0	  489.6	 0.2520	28.0292	 100.00	 590.57
      5	4007fa	     37	    6.0	 1227.0	  612.5	 0.2352	21.3210	 100.00	 619.69
      6	4007fa	     38	   12.0	 1223.0	  699.7	 0.2464	25.7797	 100.00	 684.16
      7	4007fa	     38	    8.0	 1227.0	  765.6	 0.2266	16.5580	 100.00	 717.54
      8	4007fa	     38	   10.0	 1225.0	  816.7	 0.2046	10.7305	 100.00	 761.67
      9	4007fa	     38	    6.0	 1225.0	  857.5	 0.1894	13.9392	 100.00	 799.29
     10	4007fa	     38	    8.0	 1225.0	  890.9	 0.1767	12.8913	 100.00	 832.41
     11	4007fa	     39	   12.0	 1223.0	  918.6	 0.2491	28.3361	 100.00	 883.89
     12	4007fa	     39	   12.0	 1225.0	  942.2	 0.2383	20.0821	 100.00	 881.18
     13	4007fa	     39	    8.0	 1227.0	  962.5	 0.2083	11.4790	 100.00	 907.28
     14	4007fa	     39	    8.0	 1227.0	  980.1	 0.1897	10.4258	 100.00	 929.12
     15	4007fa	     39	    6.0	 1227.0	  995.6	 0.1701	 7.2169	 100.00	 949.05
     16	4007fa	     39	   12.0	 1223.0	 1008.9	 0.1750	18.5298	 100.00	 967.03
     17	4007fa	     39	    8.0	 1227.0	 1021.1	 0.1688	13.1310	 100.00	 982.55
     18	4007fa	     39	   10.0	 1225.0	 1031.8	 0.1564	 5.5203	 100.00	 997.36
     19	4007fa	     39	    6.0	 1229.0	 1041.7	 0.1552	17.3759	 100.00	1011.18
     20	4007fa	     39	   10.0	 1227.0	 1050.5	 0.1492	 7.4192	 100.00	1024.20
     21	4007fa	     40	   16.0	 1227.0	 1058.5	 0.2539	30.7395	 100.00	1044.70
     22	4007fa	     40	    8.0	 1223.0	 1065.7	 0.2387	22.1065	 100.00	1037.29
     23	4007fa	     40	    6.0	 1227.0	 1072.4	 0.2080	10.1466	 100.00	1045.87
     24	4007fa	     40	   10.0	 1225.0	 1078.5	 0.2085	12.6005	 100.00	1052.17
     25	4007fa	     40	    6.0	 1225.0	 1084.1	 0.1901	12.6764	 100.00	1058.47
     26	4007fa	     40	   14.0	 1225.0	 1089.3	 0.1804	13.9780	 100.00	1064.40
     27	4007fa	     40	    6.0	 1225.0	 1094.2	 0.1681	 9.2119	 100.00	1070.26
     28	4007fa	     40	   10.0	 1227.0	 1098.8	 0.1642	14.7424	 100.00	1077.78
     29	4007fa	     40	    8.0	 1229.0	 1103.1	 0.1577	13.1717	 100.00	1086.20
     30	4007fa	     40	   10.0	 1229.0	 1107.2	 0.1504	 6.5232	 100.00	1093.12
     31	4007fa	     40	   12.0	 1227.0	 1110.9	 0.1512	14.8696	 100.00	1100.66
     32	4007fa	     40	    8.0	 1223.0	 1114.3	 0.1505	17.2652	 100.00	1106.88
     33	4007fa	     40	    6.0	 1227.0	 1117.6	 0.1487	14.0676	 100.00	1112.80
     34	4007fa	     40	   10.0	 1225.0	 1120.7	 0.1445	 4.6341	 100.00	1118.72
     35	4007fa	     40	    8.0	 1229.0	 1123.7	 0.1412	 7.4317	 100.00	1124.19
     36	4007fa	     40	   14.0	 1227.0	 1126.5	 0.1426	12.7934	 100.00	1129.43
     37	4007fa	     40	    6.0	 1231.0	 1129.2	 0.1412	13.4117	 100.00	1134.49
     38	4007fa	     40	    8.0	 1227.0	 1131.7	 0.1371	 6.9482	 100.00	1139.33
     39	4007fa	     40	   10.0	 1233.0	 1134.3	 0.1344	 8.6478	 100.00	1143.76
     40	4007fa	     40	    8.0	 1229.0	 1136.6	 0.1347	12.6473	 100.00	1148.30
     41	4007fa	     41	   16.0	 1223.0	 1138.6	 0.2553	29.5541	 100.00	1155.26
     42	4007fa	     41	    8.0	 1223.0	 1140.6	 0.2493	29.9397	 100.00	1151.42
     43	4007fa	     41	    6.0	 1223.0	 1142.5	 0.2220	12.7605	 100.00	1155.95
     44	4007fa	     41	   14.0	 1227.0	 1144.4	 0.2008	 8.9782	 100.00	1159.96
     45	4007fa	     41	    6.0	 1227.0	 1146.2	 0.1884	14.1473	 100.00	1164.83
     46	4007fa	     41	    8.0	 1227.0	 1147.9	 0.1734	 8.3237	 100.00	1168.29
     47	4007fa	     41	   10.0	 1227.0	 1149.5	 0.1707	 9.8319	 100.00	1171.36
     48	4007fa	     41	    8.0	 1223.0	 1151.0	 0.1679	19.4786	 100.00	1174.71
