./asc:main.c:225: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	Logloss	 Misses	   MIPS
      0	400144	     30	    0.0	42313.0	42313.0	 0.0000	    inf	 100.00	0.00010
      1	40080a	     30	    0.0	 1284.0	  642.0	 0.0000	    inf	 100.00	 215.14
./asc:main.c:284: warning: worker pid `12624' SIGSEGV: bad speculation?
      2	40080a	     34	    8.0	 1218.0	  406.0	 0.2480	27.0354	 100.00	 460.96
      3	40080a	     36	   10.0	 1224.0	  306.0	 0.2474	28.1376	 100.00	 525.54
      4	40080a	     37	   10.0	 1222.0	  489.2	 0.2513	29.2910	 100.00	 590.00
      5	40080a	     37	    6.0	 1226.0	  612.0	 0.2336	21.9104	 100.00	 612.54
      6	40080a	     38	   12.0	 1222.0	  699.1	 0.2571	30.4435	 100.00	 700.21
      7	40080a	     38	    8.0	 1226.0	  765.0	 0.2342	18.5111	 100.00	 727.12
      8	40080a	     38	   10.0	 1224.0	  816.0	 0.2136	12.1411	 100.00	 772.18
      9	40080a	     38	    6.0	 1224.0	  856.8	 0.1959	13.5044	 100.00	 812.25
     10	40080a	     38	    8.0	 1224.0	  890.2	 0.1824	12.9456	 100.00	 845.92
     11	40080a	     39	   12.0	 1222.0	  917.8	 0.2502	27.9953	 100.00	 901.21
     12	40080a	     39	   12.0	 1224.0	  941.4	 0.2390	22.3420	 100.00	 906.59
     13	40080a	     39	    8.0	 1226.0	  961.7	 0.2101	12.5982	 100.00	 929.85
     14	40080a	     39	    8.0	 1226.0	  979.3	 0.1922	10.6734	 100.00	 950.26
     15	40080a	     39	    6.0	 1226.0	  994.8	 0.1725	 7.5014	 100.00	 968.83
     16	40080a	     39	   12.0	 1222.0	 1008.1	 0.1768	19.5791	 100.00	 985.13
     17	40080a	     39	    8.0	 1226.0	 1020.2	 0.1699	13.4620	 100.00	 999.75
     18	40080a	     39	   10.0	 1224.0	 1030.9	 0.1578	 6.2361	 100.00	1014.53
     19	40080a	     39	    6.0	 1228.0	 1040.8	 0.1558	15.6643	 100.00	1028.16
     20	40080a	     39	   10.0	 1226.0	 1049.6	 0.1502	 8.1038	 100.00	1040.84
     21	40080a	     40	   16.0	 1226.0	 1057.6	 0.2511	31.3576	 100.00	1060.46
     22	40080a	     40	    8.0	 1222.0	 1064.8	 0.2406	24.9924	 100.00	1055.51
     23	40080a	     40	    6.0	 1226.0	 1071.5	 0.2120	10.8327	 100.00	1066.36
     24	40080a	     40	   10.0	 1224.0	 1077.6	 0.2095	12.7798	 100.00	1075.73
     25	40080a	     40	    6.0	 1224.0	 1083.2	 0.1922	14.3221	 100.00	1083.89
     26	40080a	     40	   14.0	 1224.0	 1088.4	 0.1822	13.7026	 100.00	1091.85
     27	40080a	     40	    6.0	 1224.0	 1093.3	 0.1695	 9.0608	 100.00	1099.28
     28	40080a	     40	   10.0	 1226.0	 1097.9	 0.1660	15.9814	 100.00	1106.70
