./asc:main.c:225: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	Logloss	 Misses	   MIPS
      0	400144	     30	    0.0	42316.0	42316.0	 0.0000	    inf	 100.00	   1.01
      1	40081c	     30	    0.0	 1275.0	  637.5	 0.0000	    inf	 100.00	 222.96
      2	40081c	     34	    8.0	   16.0	    5.3	 0.2493	26.8070	 100.00	 445.45
      3	40081c	     36	   10.0	   12.0	    3.0	 0.2487	28.2163	 100.00	 527.27
      4	40081c	     37	   10.0	   18.0	    6.0	 0.2445	27.4357	 100.00	 594.97
      5	40081c	     37	    6.0	   12.0	    7.0	 0.2279	19.5399	 100.00	 627.21
      6	40081c	     38	   12.0	   16.0	    8.3	 0.2476	25.8026	 100.00	 688.47
      7	40081c	     38	    8.0	   16.0	    9.2	 0.2269	17.4479	 100.00	 723.66
      8	40081c	     38	   10.0	   12.0	    9.6	 0.2057	10.7487	 100.00	 766.74
      9	40081c	     38	    6.0	   14.0	   10.0	 0.1891	13.8778	 100.00	 803.73
     10	40081c	     38	    8.0	   14.0	   10.4	 0.1765	12.8348	 100.00	 836.44
     11	40081c	     39	   12.0	   12.0	   10.5	 0.2528	30.5486	 100.00	 887.13
     12	40081c	     39	   12.0	   16.0	   10.9	 0.2418	23.3996	 100.00	 884.64
     13	40081c	     39	    8.0	   14.0	   11.1	 0.2143	12.2580	 100.00	 910.42
     14	40081c	     39	    8.0	   14.0	   11.3	 0.1948	 9.8163	 100.00	 931.96
     15	40081c	     39	    6.0	   16.0	   11.6	 0.1761	 7.7869	 100.00	 952.36
     16	40081c	     39	   12.0	   12.0	   11.6	 0.1795	19.6708	 100.00	 970.12
     17	40081c	     39	    8.0	   12.0	   11.7	 0.1731	13.6543	 100.00	 985.67
     18	40081c	     39	   10.0	   16.0	   11.9	 0.1603	 5.6214	 100.00	1000.39
     19	40081c	     39	    6.0	   10.0	   11.8	 0.1584	17.1168	 100.00	1013.69
     20	40081c	     39	   10.0	   16.0	   12.0	 0.1524	 7.7708	 100.00	1026.70
     21	40081c	     40	   16.0	   12.0	   12.0	 0.2556	30.3634	 100.00	1046.75
