./asc:main.c:225: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	Logloss	 Misses	   MIPS
      0	400144	     30	    0.0	42312.0	42312.0	 0.0000	    inf	 100.00	0.00010
      1	400820	     30	    0.0	 1275.0	  637.5	 0.0000	    inf	 100.00	 221.08
./asc:main.c:284: warning: worker pid `12648' SIGSEGV: bad speculation?
      2	400820	     34	    8.0	 1216.0	  405.3	 0.2548	27.1957	 100.00	 468.20
      3	400820	     36	   10.0	 1222.0	  305.5	 0.2506	28.5867	 100.00	 535.22
      4	400820	     37	   10.0	 1218.0	  488.0	 0.2495	28.6731	 100.00	 601.38
      5	400820	     37	    6.0	 1222.0	  610.3	 0.2319	20.6754	 100.00	 638.43
      6	400820	     38	   12.0	 1218.0	  697.1	 0.2528	27.2568	 100.00	 728.31
      7	400820	     38	    8.0	 1222.0	  762.8	 0.2304	16.9721	 100.00	 754.76
      8	400820	     38	   10.0	 1222.0	  813.8	 0.2081	 9.6652	 100.00	 800.40
      9	400820	     38	    6.0	 1222.0	  854.6	 0.1926	15.2947	 100.00	 839.13
     10	400820	     38	    8.0	 1222.0	  888.0	 0.1796	13.1743	 100.00	 873.44
     11	400820	     39	   12.0	 1220.0	  915.7	 0.2509	28.4865	 100.00	 919.92
     12	400820	     39	   12.0	 1220.0	  939.1	 0.2374	20.7701	 100.00	 933.68
     13	400820	     39	    8.0	 1222.0	  959.3	 0.2089	10.4672	 100.00	 959.97
     14	400820	     39	    8.0	 1222.0	  976.8	 0.1918	10.2199	 100.00	 982.60
     15	400820	     39	    6.0	 1222.0	  992.1	 0.1731	 7.8073	 100.00	1002.49
     16	400820	     39	   12.0	 1220.0	 1005.5	 0.1766	19.0317	 100.00	1020.87
     17	400820	     39	    8.0	 1224.0	 1017.7	 0.1704	13.9077	 100.00	1036.99
     18	400820	     39	   10.0	 1222.0	 1028.4	 0.1575	 5.3887	 100.00	1052.23
     19	400820	     39	    6.0	 1226.0	 1038.3	 0.1559	17.0061	 100.00	1065.92
     20	400820	     39	   10.0	 1222.0	 1047.0	 0.1501	 7.8017	 100.00	1078.98
     21	400820	     40	   16.0	 1222.0	 1055.0	 0.2532	30.7737	 100.00	1100.85
     22	400820	     40	    8.0	 1218.0	 1062.1	 0.2388	22.2546	 100.00	1106.14
     23	400820	     40	    6.0	 1222.0	 1068.8	 0.2093	10.4337	 100.00	1116.05
     24	400820	     40	   10.0	 1222.0	 1074.9	 0.2092	12.2560	 100.00	1125.75
     25	400820	     40	    6.0	 1222.0	 1080.5	 0.1900	12.1102	 100.00	1134.47
     26	400820	     40	   14.0	 1222.0	 1085.8	 0.1810	13.0259	 100.00	1143.05
     27	400820	     40	    6.0	 1222.0	 1090.6	 0.1683	 8.9920	 100.00	1151.02
     28	400820	     40	   10.0	 1222.0	 1095.2	 0.1648	15.5719	 100.00	1158.56
     29	400820	     40	    8.0	 1224.0	 1099.5	 0.1584	12.3907	 100.00	1165.98
     30	400820	     40	   10.0	 1224.0	 1103.5	 0.1500	 6.2987	 100.00	1171.46
     31	400820	     40	   12.0	 1222.0	 1107.2	 0.1513	17.1139	 100.00	1176.65
     32	400820	     40	    8.0	 1220.0	 1110.6	 0.1503	16.3488	 100.00	1181.58
     33	400820	     40	    6.0	 1224.0	 1113.9	 0.1484	14.5279	 100.00	1185.85
     34	400820	     40	   10.0	 1222.0	 1117.0	 0.1431	 4.8412	 100.00	1190.36
     35	400820	     40	    8.0	 1226.0	 1120.1	 0.1395	 8.0194	 100.00	1194.32
     36	400820	     40	   14.0	 1222.0	 1122.8	 0.1403	20.4293	 100.00	1198.38
     37	400820	     40	    6.0	 1226.0	 1125.5	 0.1388	18.8216	 100.00	1202.16
     38	400820	     40	    8.0	 1222.0	 1128.0	 0.1356	 4.7521	 100.00	1205.87
     39	400820	     40	   10.0	 1228.0	 1130.5	 0.1327	 3.2741	 100.00	1209.13
     40	400820	     40	    8.0	 1226.0	 1132.8	 0.1360	13.2809	 100.00	1212.54
     41	400820	     41	   16.0	 1220.0	 1134.9	 0.2472	30.0917	 100.00	1218.29
     42	400820	     41	    8.0	 1220.0	 1136.9	 0.2419	29.2465	 100.00	1213.50
     43	400820	     41	    6.0	 1220.0	 1138.8	 0.2168	13.9270	 100.00	1217.06
