./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	400144	    112	42316.0	42316.0	42316.0	 0.1308	 100.00	  17.11
      1	4007e8	    112	 1174.0	43486.0	21743.0	 0.1215	 100.00	  49.16
      2	4007e8	    112	   20.0	43486.0	14495.3	 0.0955	 100.00	  81.26
      3	4007e8	    112	   25.0	43491.0	10872.8	 0.0771	 100.00	 113.35
      4	4007e8	    112	   25.0	43486.0	17395.4	 0.0676	 100.00	 142.12
      5	4007e8	    112	   15.0	43501.0	21746.3	 0.0674	 100.00	 171.07
      6	4007e8	    112	   30.0	43491.0	24852.7	 0.0684	 100.00	 202.85
      7	4007e8	    112	   20.0	43501.0	27183.8	 0.0642	 100.00	 228.12
      8	4007e8	    112	   25.0	43486.0	28995.1	 0.0677	 100.00	 252.04
      9	4007e8	    112	   15.0	43491.0	30444.7	 0.0663	 100.00	 275.10
     10	4007e8	    112	   20.0	43501.0	31631.6	 0.0665	 100.00	 296.81
     11	4007e8	    112	   30.0	43491.0	32619.9	 0.0682	 100.00	 317.94
     12	4007e8	    112	   30.0	43491.0	33456.2	 0.0661	 100.00	 338.26
     13	4007e8	    112	   20.0	43491.0	34172.9	 0.0645	 100.00	 357.57
     14	4007e8	    112	   20.0	43501.0	34794.8	 0.0624	 100.00	 376.21
     15	4007e8	    112	   15.0	43506.0	35339.2	 0.0603	 100.00	 394.24
     16	4007e8	    112	   30.0	43486.0	35818.5	 0.0677	 100.00	 411.74
     17	4007e8	    112	   20.0	43496.0	36245.0	 0.0663	 100.00	 427.14
     18	4007e8	    112	   25.0	43491.0	36626.4	 0.0647	 100.00	 443.20
     19	4007e8	    112	   15.0	43506.0	36970.3	 0.0632	 100.00	 458.98
     20	4007e8	    112	   25.0	43501.0	37281.3	 0.0648	 100.00	 474.13
     21	4007e8	    112	   40.0	43491.0	37563.6	 0.0697	 100.00	 488.57
     22	4007e8	    112	   20.0	43491.0	37821.3	 0.0677	 100.00	 502.73
     23	4007e8	    112	   15.0	43506.0	38058.2	 0.0700	 100.00	 516.47
     24	4007e8	    112	   25.0	43491.0	38275.5	 0.0705	 100.00	 529.66
     25	4007e8	    112	   15.0	43496.0	38476.3	 0.0703	 100.00	 542.58
     26	4007e8	    112	   35.0	43491.0	38662.0	 0.0713	 100.00	 554.96
     27	4007e8	    112	   15.0	43496.0	38834.6	 0.0691	 100.00	 567.89
     28	4007e8	    112	   25.0	43501.0	38995.6	 0.0703	 100.00	 579.28
     29	4007e8	    112	   20.0	43501.0	39145.7	 0.0690	 100.00	 590.58
     30	4007e8	    112	   25.0	43506.0	39286.4	 0.0683	 100.00	 601.62
     31	4007e8	    112	   30.0	43496.0	39417.9	 0.0712	 100.00	 611.88
     32	4007e8	    112	   20.0	43486.0	39541.2	 0.0740	 100.00	 621.92
