./asc:main.c:225: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	Logloss	 Misses	   MIPS
      0	400144	     75	    0.0	42313.0	42313.0	 0.0000	    inf	 100.00	0.41668
      1	4007e8	     75	    0.0	 1257.0	  628.5	 0.0000	    inf	 100.00	 550.61
./asc:main.c:284: warning: worker pid `12913' SIGSEGV: bad speculation?
      2	4007e8	     83	   20.0	 1178.0	  392.7	 0.2542	57.6088	 100.00	 891.65
      3	4007e8	     87	   25.0	 1183.0	  295.8	 0.2522	62.2605	 100.00	1047.26
      4	4007e8	     87	   15.0	 1184.0	  473.4	 0.2323	 4.8791	 100.00	1144.62
      5	4007e8	     89	   25.0	 1185.0	  592.0	 0.2563	68.7034	 100.00	1241.12
      6	4007e8	     91	   30.0	 1189.0	  677.3	 0.2476	46.3967	 100.00	1302.34
      7	4007e8	     91	   20.0	 1183.0	  740.5	 0.2157	 4.5813	 100.00	1345.00
      8	4007e8	     91	   15.0	 1184.0	  789.8	 0.1962	20.0308	 100.00	1387.05
      9	4007e8	     93	   35.0	 1191.0	  829.9	 0.2490	47.7416	 100.00	1425.73
     10	4007e8	     93	   20.0	 1185.0	  862.2	 0.2283	 4.6216	 100.00	1449.15
     11	4007e8	     95	   35.0	 1186.0	  889.2	 0.2458	46.7829	 100.00	1476.75
     12	4007e8	     95	   15.0	 1187.0	  912.1	 0.2274	 9.1733	 100.00	1493.49
     13	4007e8	     95	   25.0	 1188.0	  931.8	 0.2203	51.2529	 100.00	1511.39
     14	4007e8	     95	   25.0	 1193.0	  949.2	 0.2029	 9.8126	 100.00	1527.15
     15	4007e8	     95	   20.0	 1187.0	  964.1	 0.1946	48.6461	 100.00	1540.97
     16	4007e8	     95	   15.0	 1188.0	  977.2	 0.1645	 0.4260	 100.00	1553.16
     17	4007e8	     97	   45.0	 1189.0	  989.0	 0.2494	46.3653	 100.00	1565.44
     18	4007e8	     97	   20.0	 1183.0	  999.2	 0.2391	24.2424	 100.00	1573.35
     19	4007e8	     97	   25.0	 1188.0	 1008.6	 0.2107	23.9533	 100.00	1582.98
     20	4007e8	     97	   15.0	 1189.0	 1017.2	 0.1857	12.7412	 100.00	1591.75
     21	4007e8	     97	   25.0	 1190.0	 1025.1	 0.1800	60.7918	 100.00	1599.57
     22	4007e8	     99	   40.0	 1188.0	 1032.2	 0.2447	47.6645	 100.00	1607.09
     23	4007e8	     99	   20.0	 1182.0	 1038.4	 0.2271	10.8413	 100.00	1612.07
     24	4007e8	     99	   15.0	 1183.0	 1044.2	 0.2001	40.4108	 100.00	1618.08
