./asc:main.c:225: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	Logloss	 Misses	   MIPS
      0	400144	     60	    0.0	42314.0	42314.0	 0.0000	    inf	 100.00	0.00007
      1	4007ed	     60	    0.0	 1169.0	  584.5	 0.0000	    inf	 100.00	 559.91
      2	4007ed	     72	   16.0	 1169.0	  389.7	 0.2452	37.9368	 100.00	 876.75
./asc:main.c:284: warning: worker pid `12925' SIGSEGV: bad speculation?
      3	4007ed	     78	   20.0	 1171.0	  292.8	 0.2506	52.2639	 100.00	1034.09
      4	4007ed	     78	   12.0	 1169.0	  468.0	 0.2235	 9.7273	 100.00	1122.71
      5	4007ed	     81	   20.0	 1169.0	  584.8	 0.2490	56.6897	 100.00	1160.12
      6	4007ed	     84	   24.0	 1173.0	  668.9	 0.2520	47.6325	 100.00	1218.14
      7	4007ed	     84	   16.0	 1173.0	  731.9	 0.2157	 2.5482	 100.00	1258.89
      8	4007ed	     84	   12.0	 1171.0	  780.7	 0.1904	36.6248	 100.00	1303.70
      9	4007ed	     87	   28.0	 1169.0	  819.5	 0.2548	54.8981	 100.00	1350.74
     10	4007ed	     87	   16.0	 1169.0	  851.3	 0.2300	 9.5310	 100.00	1373.99
     11	4007ed	     90	   28.0	 1175.0	  878.2	 0.2500	42.4381	 100.00	1409.46
     12	4007ed	     90	   12.0	 1173.0	  900.9	 0.2234	 5.5598	 100.00	1426.42
     13	4007ed	     90	   20.0	 1173.0	  920.4	 0.2070	40.7815	 100.00	1447.53
     14	4007ed	     90	   20.0	 1175.0	  937.3	 0.1817	18.8636	 100.00	1466.52
     15	4007ed	     90	   16.0	 1175.0	  952.2	 0.1674	44.7546	 100.00	1483.29
     16	4007ed	     90	   12.0	 1173.0	  965.2	 0.1771	 7.0874	 100.00	1498.48
     17	4007ed	     93	   36.0	 1169.0	  976.5	 0.2539	57.6474	 100.00	1515.59
     18	4007ed	     93	   16.0	 1169.0	  986.6	 0.2380	 6.9125	 100.00	1523.41
     19	4007ed	     93	   20.0	 1171.0	  995.9	 0.1967	44.9905	 100.00	1534.72
     20	4007ed	     93	   12.0	 1169.0	 1004.1	 0.2052	34.9853	 100.00	1544.87
     21	4007ed	     93	   20.0	 1169.0	 1011.6	 0.1846	26.7614	 100.00	1554.13
     22	4007ed	     96	   32.0	 1175.0	 1018.7	 0.2554	58.8808	 100.00	1565.40
     23	4007ed	     96	   16.0	 1175.0	 1025.2	 0.2312	 1.9458	 100.00	1570.63
     24	4007ed	     96	   12.0	 1173.0	 1031.1	 0.1952	29.8495	 100.00	1577.93
     25	4007ed	     96	   28.0	 1171.0	 1036.5	 0.1793	19.3972	 100.00	1584.79
     26	4007ed	     96	   16.0	 1171.0	 1041.5	 0.1717	75.5998	 100.00	1590.90
     27	4007ed	     96	   24.0	 1175.0	 1046.2	 0.1566	27.7914	 100.00	1596.57
     28	4007ed	     96	   12.0	 1173.0	 1050.6	 0.1530	41.3234	 100.00	1602.16
     29	4007ed	     96	   20.0	 1173.0	 1054.7	 0.1512	37.0821	 100.00	1607.24
     30	4007ed	     96	   20.0	 1175.0	 1058.6	 0.1472	58.5697	 100.00	1612.40
     31	4007ed	     96	   16.0	 1175.0	 1062.2	 0.1334	 0.6466	 100.00	1617.43
     32	4007ed	     96	   12.0	 1173.0	 1065.6	 0.1322	 8.8443	 100.00	1622.31
     33	4007ed	     99	   44.0	 1167.0	 1068.6	 0.2456	39.9461	 100.00	1628.34
     34	4007ed	     99	   16.0	 1167.0	 1071.4	 0.2399	53.2087	 100.00	1630.66
     35	4007ed	     99	   20.0	 1169.0	 1074.1	 0.2126	42.1547	 100.00	1634.59
     36	4007ed	     99	   12.0	 1167.0	 1076.6	 0.1712	17.5053	 100.00	1637.81
     37	4007ed	     99	   20.0	 1167.0	 1079.0	 0.1608	34.1756	 100.00	1641.29
     38	4007ed	     99	   24.0	 1171.0	 1081.3	 0.1506	30.9883	 100.00	1644.57
     39	4007ed	     99	   16.0	 1171.0	 1083.6	 0.1434	46.5145	 100.00	1647.77
     40	4007ed	     99	   12.0	 1169.0	 1085.7	 0.1315	 3.0080	 100.00	1650.62
     41	4007ed	     99	   28.0	 1167.0	 1087.6	 0.1408	64.9943	 100.00	1653.04
     42	4007ed	     99	   16.0	 1167.0	 1089.4	 0.1298	 0.9972	 100.00	1655.66
     43	4007ed	     99	   24.0	 1183.0	 1091.6	 0.1394	51.7719	 100.00	1658.14
     44	4007ed	     99	   16.0	 1175.0	 1093.4	 0.1375	68.6718	 100.00	1660.48
     45	4007ed	     99	   12.0	 1181.0	 1095.3	 0.1301	18.2528	 100.00	1662.77
     46	4007ed	     99	   28.0	 1177.0	 1097.1	 0.1295	53.2132	 100.00	1664.96
     47	4007ed	     99	   12.0	 1183.0	 1098.9	 0.1237	13.1569	 100.00	1667.08
     48	4007ed	     99	   16.0	 1175.0	 1100.4	 0.1221	23.2514	 100.00	1669.13
     49	4007ed	     99	   20.0	 1185.0	 1102.1	 0.1225	35.8985	 100.00	1670.96
     50	4007ed	     99	   32.0	 1171.0	 1103.5	 0.1263	35.6716	 100.00	1672.73
     51	4007ed	     99	   16.0	 1179.0	 1104.9	 0.1273	39.2061	 100.00	1674.45
     52	4007ed	     99	   16.0	 1171.0	 1106.2	 0.1257	23.5897	 100.00	1673.66
     53	4007ed	     99	   12.0	 1177.0	 1107.5	 0.1227	32.2076	 100.00	1666.66
     54	4007ed	     99	   36.0	 1177.0	 1108.7	 0.1256	60.0632	 100.00	1668.87
     55	4007ed	     99	   12.0	 1183.0	 1110.1	 0.1237	19.1530	 100.00	1670.85
     56	4007ed	     99	   16.0	 1175.0	 1111.2	 0.1219	25.7938	 100.00	1672.77
     57	4007ed	     99	   16.0	 1183.0	 1112.4	 0.1218	33.2549	 100.00	1674.73
     58	4007ed	     99	   28.0	 1173.0	 1113.5	 0.1220	10.1871	 100.00	1676.51
     59	4007ed	     99	   20.0	 1183.0	 1114.6	 0.1242	86.4749	 100.00	1678.32
     60	4007ed	     99	   16.0	 1175.0	 1115.6	 0.1223	29.0470	 100.00	1680.09
     61	4007ed	     99	   12.0	 1181.0	 1116.7	 0.1200	 8.4785	 100.00	1681.98
     62	4007ed	     99	   28.0	 1177.0	 1117.6	 0.1204	49.4108	 100.00	1683.81
     63	4007ed	     99	   12.0	 1183.0	 1118.6	 0.1187	28.4226	 100.00	1685.60
     64	4007ed	     99	   16.0	 1175.0	 1119.5	 0.1180	24.1825	 100.00	1687.09
     65	4007ed	     99	   28.0	 1187.0	 1120.5	 0.1209	89.8189	 100.00	1688.64
     66	4007ed	    102	   40.0	 1165.0	 1121.2	 0.2543	52.8315	 100.00	1690.04
     67	4007ed	    102	   16.0	 1173.0	 1122.0	 0.2403	 1.2652	 100.00	1690.97
     68	4007ed	    102	   16.0	 1165.0	 1122.6	 0.2120	42.7749	 100.00	1692.44
     69	4007ed	    102	   12.0	 1171.0	 1123.3	 0.1701	12.9540	 100.00	1693.90
     70	4007ed	    102	   32.0	 1169.0	 1123.9	 0.1654	1.9e+02	 100.00	1695.26
     71	4007ed	    102	   12.0	 1175.0	 1124.6	 0.1909	1.1e+02	 100.00	1696.69
     72	4007ed	    102	   16.0	 1167.0	 1125.2	 0.1741	19.2554	 100.00	1698.03
     73	4007ed	    102	   16.0	 1175.0	 1125.9	 0.1667	 9.4402	 100.00	1699.36
     74	4007ed	    102	   28.0	 1165.0	 1126.4	 0.1622	47.3866	 100.00	1700.71
     75	4007ed	    102	   24.0	 1177.0	 1127.1	 0.1619	77.1263	 100.00	1702.03
     76	4007ed	    102	   16.0	 1169.0	 1127.6	 0.1541	 9.4762	 100.00	1703.40
     77	4007ed	    102	   12.0	 1175.0	 1128.2	 0.1515	 7.7259	 100.00	1704.67
     78	4007ed	    102	   28.0	 1171.0	 1128.8	 0.1487	25.0364	 100.00	1705.95
     79	4007ed	    102	   12.0	 1177.0	 1129.4	 0.1451	48.2559	 100.00	1707.28
     80	4007ed	    102	   16.0	 1169.0	 1129.9	 0.1393	37.6255	 100.00	1708.43
     81	4007ed	    102	   20.0	 1179.0	 1130.5	 0.1397	24.7651	 100.00	1709.56
     82	4007ed	    102	   32.0	 1165.0	 1130.9	 0.1403	42.9497	 100.00	1710.52
     83	4007ed	    102	   16.0	 1173.0	 1131.4	 0.1387	30.6316	 100.00	1711.28
     84	4007ed	    102	   16.0	 1165.0	 1131.8	 0.1343	15.1612	 100.00	1712.17
     85	4007ed	    102	   12.0	 1171.0	 1132.2	 0.1316	 6.5165	 100.00	1713.11
     86	4007ed	    102	   28.0	 1181.0	 1132.8	 0.1362	38.8636	 100.00	1714.04
     87	4007ed	    102	   20.0	 1181.0	 1133.3	 0.1371	48.8833	 100.00	1714.93
     88	4007ed	    102	   12.0	 1179.0	 1133.8	 0.1357	26.7733	 100.00	1715.86
     89	4007ed	    102	   20.0	 1181.0	 1134.4	 0.1336	38.3800	 100.00	1716.84
     90	4007ed	    102	   16.0	 1181.0	 1134.9	 0.1305	19.4267	 100.00	1717.55
     91	4007ed	    102	   32.0	 1181.0	 1135.4	 0.1330	66.7740	 100.00	1718.11
     92	4007ed	    102	   12.0	 1179.0	 1135.8	 0.1330	46.8589	 100.00	1718.83
     93	4007ed	    102	   16.0	 1179.0	 1136.3	 0.1292	11.7567	 100.00	1719.84
     94	4007ed	    102	   20.0	 1181.0	 1136.8	 0.1281	36.2436	 100.00	1720.78
     95	4007ed	    102	   20.0	 1181.0	 1137.2	 0.1269	48.0284	 100.00	1721.69
     96	4007ed	    102	   12.0	 1179.0	 1137.7	 0.1253	24.4338	 100.00	1722.57
     97	4007ed	    102	   28.0	 1185.0	 1138.2	 0.1269	41.6416	 100.00	1723.29
     98	4007ed	    102	   16.0	 1185.0	 1138.6	 0.1257	 7.9477	 100.00	1723.98
     99	4007ed	    102	   36.0	 1175.0	 1139.0	 0.1294	94.8774	 100.00	1724.63
    100	4007ed	    102	   12.0	 1173.0	 1139.3	 0.1281	47.5821	 100.00	1725.19
    101	4007ed	    102	   16.0	 1173.0	 1139.7	 0.1262	11.2233	 100.00	1725.88
    102	4007ed	    102	   24.0	 1177.0	 1140.0	 0.1259	46.4311	 100.00	1726.58
    103	4007ed	    102	   20.0	 1177.0	 1140.4	 0.1250	40.7647	 100.00	1727.22
    104	4007ed	    102	   12.0	 1175.0	 1140.7	 0.1238	39.2523	 100.00	1727.89
    105	4007ed	    102	   20.0	 1177.0	 1141.0	 0.1228	23.4301	 100.00	1728.50
    106	4007ed	    102	   16.0	 1177.0	 1141.4	 0.1212	16.6176	 100.00	1729.21
    107	4007ed	    102	   40.0	 1179.0	 1141.7	 0.1245	88.2091	 100.00	1729.82
    108	4007ed	    102	   12.0	 1177.0	 1142.1	 0.1257	27.5781	 100.00	1730.32
    109	4007ed	    102	   16.0	 1177.0	 1142.4	 0.1247	 5.8337	 100.00	1730.78
    110	4007ed	    102	   20.0	 1179.0	 1142.7	 0.1241	25.7926	 100.00	1731.40
    111	4007ed	    102	   20.0	 1179.0	 1143.0	 0.1236	43.3664	 100.00	1732.07
    112	4007ed	    102	   12.0	 1177.0	 1143.3	 0.1229	23.5661	 100.00	1732.73
    113	4007ed	    102	   24.0	 1181.0	 1143.7	 0.1228	20.0575	 100.00	1733.31
    114	4007ed	    102	   16.0	 1181.0	 1144.0	 0.1225	27.8152	 100.00	1733.78
