./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	400144	     30	42317.0	42317.0	42317.0	 0.3587	 100.00	  53.17
      1	4007f6	     30	 1225.0	43540.0	21770.0	 0.2677	 100.00	 790.38
      2	4007f6	     34	    8.0	43540.0	14513.3	 0.2501	 100.00	1120.28
      3	4007f6	     36	   10.0	43542.0	10885.5	 0.2559	 100.00	1263.38
      4	4007f6	     36	    6.0	43540.0	17416.4	 0.2362	 100.00	1341.48
      5	4007f6	     37	   10.0	43538.0	21770.0	 0.2473	 100.00	1416.90
      6	4007f6	     38	   12.0	43542.0	24880.3	 0.2514	 100.00	1463.34
      7	4007f6	     38	    8.0	43542.0	27213.0	 0.2351	 100.00	1492.57
      8	4007f6	     38	    6.0	43540.0	29027.1	 0.2019	 100.00	1521.69
      9	4007f6	     39	   14.0	43538.0	30478.2	 0.2548	 100.00	1549.10
     10	4007f6	     39	    8.0	43538.0	31665.5	 0.2370	 100.00	1564.00
     11	4007f6	     40	   14.0	43544.0	32655.3	 0.2536	 100.00	1583.64
     12	4007f6	     40	    6.0	43542.0	33492.8	 0.2406	 100.00	1594.03
     13	4007f6	     40	   10.0	43540.0	34210.4	 0.2108	 100.00	1605.60
     14	4007f6	     40	   10.0	43542.0	34832.5	 0.1930	 100.00	1616.13
     15	4007f6	     40	    8.0	43542.0	35376.9	 0.1718	 100.00	1625.06
     16	4007f6	     40	    6.0	43540.0	35857.1	 0.1612	 100.00	1632.92
     17	4007f6	     41	   18.0	43538.0	36283.8	 0.2523	 100.00	1641.95
     18	4007f6	     41	    8.0	43538.0	36665.6	 0.2427	 100.00	1646.44
     19	4007f6	     41	   10.0	43540.0	37009.3	 0.2101	 100.00	1652.07
     20	4007f6	     41	    6.0	43538.0	37320.2	 0.1932	 100.00	1657.49
     21	4007f6	     41	   10.0	43536.0	37602.7	 0.1822	 100.00	1662.17
     22	4007f6	     42	   16.0	43544.0	37861.0	 0.2549	 100.00	1667.43
     23	4007f6	     42	    8.0	43544.0	38097.8	 0.2393	 100.00	1670.26
     24	4007f6	     42	    6.0	43542.0	38315.6	 0.2060	 100.00	1673.95
     25	4007f6	     42	   14.0	43540.0	38516.5	 0.2086	 100.00	1677.34
     26	4007f6	     42	    8.0	43540.0	38702.6	 0.1921	 100.00	1680.80
     27	4007f6	     42	   12.0	43544.0	38875.5	 0.1819	 100.00	1683.76
     28	4007f6	     42	    6.0	43542.0	39036.4	 0.1737	 100.00	1686.65
     29	4007f6	     42	   10.0	43540.0	39186.5	 0.1656	 100.00	1689.17
     30	4007f6	     42	   10.0	43542.0	39327.0	 0.1571	 100.00	1691.45
     31	4007f6	     42	    8.0	43542.0	39458.8	 0.1500	 100.00	1693.87
     32	4007f6	     42	    6.0	43540.0	39582.4	 0.1430	 100.00	1695.94
     33	4007f6	     43	   22.0	43538.0	39698.8	 0.2548	 100.00	1698.56
     34	4007f6	     43	    8.0	43538.0	39808.5	 0.2491	 100.00	1699.84
     35	4007f6	     43	   10.0	43540.0	39912.1	 0.2199	 100.00	1701.71
     36	4007f6	     43	    6.0	43538.0	40010.1	 0.1985	 100.00	1703.42
     37	4007f6	     43	   10.0	43536.0	40102.9	 0.1879	 100.00	1705.20
     38	4007f6	     43	   12.0	43540.0	40191.0	 0.1777	 100.00	1706.78
     39	4007f6	     43	    8.0	43540.0	40274.8	 0.1655	 100.00	1708.21
     40	4007f6	     43	    6.0	43538.0	40354.3	 0.1557	 100.00	1709.59
     41	4007f6	     43	   14.0	43536.0	40430.1	 0.1582	 100.00	1710.94
     42	4007f6	     43	    8.0	43536.0	40502.3	 0.1548	 100.00	1712.14
     43	4007f6	     43	   12.0	43548.0	40571.5	 0.1616	 100.00	1713.19
     44	4007f6	     43	    8.0	43544.0	40637.6	 0.1628	 100.00	1714.10
     45	4007f6	     43	    6.0	43546.0	40700.8	 0.1536	 100.00	1715.12
     46	4007f6	     43	   14.0	43544.0	40761.3	 0.1536	 100.00	1716.11
     47	4007f6	     43	    6.0	43546.0	40819.3	 0.1475	 100.00	1717.20
     48	4007f6	     43	    8.0	43542.0	40874.9	 0.1455	 100.00	1718.24
     49	4007f6	     43	   10.0	43548.0	40928.4	 0.1435	 100.00	1719.44
     50	4007f6	     43	   16.0	43540.0	40979.6	 0.1462	 100.00	1720.28
     51	4007f6	     43	    8.0	43544.0	41028.9	 0.1436	 100.00	1721.36
     52	4007f6	     43	    8.0	43540.0	41076.3	 0.1414	 100.00	1722.33
     53	4007f6	     43	    6.0	43542.0	41121.9	 0.1381	 100.00	1723.21
     54	4007f6	     43	   18.0	43544.0	41166.0	 0.1397	 100.00	1724.12
     55	4007f6	     43	    6.0	43546.0	41208.5	 0.1419	 100.00	1724.84
     56	4007f6	     43	    8.0	43542.0	41249.4	 0.1381	 100.00	1725.59
     57	4007f6	     43	    8.0	43546.0	41289.0	 0.1395	 100.00	1726.23
     58	4007f6	     43	   14.0	43540.0	41327.2	 0.1406	 100.00	1726.85
     59	4007f6	     43	   10.0	43546.0	41364.1	 0.1427	 100.00	1727.33
     60	4007f6	     43	    8.0	43542.0	41399.8	 0.1407	 100.00	1728.03
     61	4007f6	     43	    6.0	43544.0	41434.4	 0.1387	 100.00	1728.63
     62	4007f6	     43	   14.0	43542.0	41467.9	 0.1377	 100.00	1729.29
     63	4007f6	     43	    6.0	43544.0	41500.3	 0.1364	 100.00	1729.94
     64	4007f6	     43	    8.0	43540.0	41531.7	 0.1345	 100.00	1730.55
     65	4007f6	     43	   14.0	43550.0	41562.3	 0.1371	 100.00	1731.10
     66	4007f6	     44	   20.0	43538.0	41591.8	 0.2541	 100.00	1731.98
     67	4007f6	     44	    8.0	43542.0	41620.4	 0.2442	 100.00	1732.12
     68	4007f6	     44	    8.0	43538.0	41648.2	 0.2117	 100.00	1732.59
     69	4007f6	     44	    6.0	43540.0	41675.3	 0.1836	 100.00	1733.22
     70	4007f6	     44	   16.0	43540.0	41701.5	 0.1814	 100.00	1734.11
     71	4007f6	     44	    6.0	43542.0	41727.1	 0.1696	 100.00	1734.77
     72	4007f6	     44	    8.0	43538.0	41751.9	 0.1570	 100.00	1735.44
     73	4007f6	     44	    8.0	43542.0	41776.1	 0.1533	 100.00	1735.99
     74	4007f6	     44	   14.0	43536.0	41799.5	 0.1510	 100.00	1736.50
     75	4007f6	     44	   12.0	43544.0	41822.5	 0.1536	 100.00	1736.94
     76	4007f6	     44	    8.0	43540.0	41844.8	 0.1482	 100.00	1737.34
     77	4007f6	     44	    6.0	43542.0	41866.6	 0.1415	 100.00	1737.70
     78	4007f6	     44	   14.0	43540.0	41887.7	 0.1404	 100.00	1738.00
     79	4007f6	     44	    6.0	43542.0	41908.4	 0.1361	 100.00	1738.32
     80	4007f6	     44	    8.0	43538.0	41928.5	 0.1315	 100.00	1738.59
     81	4007f6	     44	   10.0	43544.0	41948.2	 0.1344	 100.00	1738.78
     82	4007f6	     44	   16.0	43536.0	41967.4	 0.1342	 100.00	1738.99
     83	4007f6	     44	    8.0	43540.0	41986.1	 0.1357	 100.00	1739.28
     84	4007f6	     44	    8.0	43536.0	42004.3	 0.1306	 100.00	1739.48
