./asc:main.c:225: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	Logloss	 Misses	   MIPS
      0	400144	     30	    0.0	42322.0	42322.0	 0.0000	    inf	 100.00	0.99232
      1	4007fe	     30	    0.0	 1304.0	  652.0	 0.0000	    inf	 100.00	 658.79
      2	4007fe	     34	    8.0	   11.0	    3.7	 0.2485	27.1740	 100.00	 988.48
      3	4007fe	     36	   10.0	    7.0	    1.8	 0.2485	26.2237	 100.00	1137.32
      4	4007fe	     36	    6.0	    9.0	    3.2	 0.2254	15.4667	 100.00	1222.37
      5	4007fe	     37	   10.0	    5.0	    3.5	 0.2497	27.6826	 100.00	1309.80
      6	4007fe	     38	   12.0	   11.0	    4.6	 0.2501	30.2203	 100.00	1364.48
      7	4007fe	     38	    8.0	   11.0	    5.4	 0.2301	19.1948	 100.00	1400.82
      8	4007fe	     38	    6.0	   13.0	    6.2	 0.1996	 8.4456	 100.00	1436.42
      9	4007fe	     39	   14.0	    7.0	    6.3	 0.2538	29.5563	 100.00	1470.26
     10	4007fe	     39	    8.0	   15.0	    7.1	 0.2370	20.9991	 100.00	1490.55
     11	4007fe	     40	   14.0	   11.0	    7.4	 0.2474	29.7927	 100.00	1514.42
     12	4007fe	     40	    6.0	   13.0	    7.8	 0.2348	18.6666	 100.00	1528.16
     13	4007fe	     40	   10.0	    9.0	    7.9	 0.2094	10.8536	 100.00	1543.43
     14	4007fe	     40	   10.0	   13.0	    8.3	 0.1881	 9.7522	 100.00	1556.60
     15	4007fe	     40	    8.0	   13.0	    8.6	 0.1708	 8.7083	 100.00	1568.06
     16	4007fe	     40	    6.0	   15.0	    8.9	 0.1587	 9.8833	 100.00	1578.67
     17	4007fe	     41	   18.0	    9.0	    8.9	 0.2498	32.0481	 100.00	1590.03
     18	4007fe	     41	    8.0	   17.0	    9.4	 0.2392	25.0300	 100.00	1596.52
     19	4007fe	     41	   10.0	   13.0	    9.6	 0.2101	10.9258	 100.00	1604.40
     20	4007fe	     41	    6.0	   15.0	    9.8	 0.1904	10.0426	 100.00	1611.91
     21	4007fe	     41	   10.0	   11.0	    9.9	 0.1800	13.5980	 100.00	1618.98
