../../../asc/asc:main.c:225: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	Logloss	 Misses	   MIPS
      0	400144	     75	    0.0	42111.0	42111.0	 0.0000	    inf	 100.00	0.00005
      1	4007e8	     75	    0.0	 1186.0	  593.0	 0.0000	    inf	 100.00	 425.07
      2	4007e8	     75	   20.0	 1176.0	  392.0	 0.0202	 0.4709	 100.00	 705.79
      3	4007e8	     75	   25.0	    4.0	    1.0	 0.0391	 1.6707	 100.00	 858.13
      4	4007e8	     75	   15.0	   14.0	    3.6	 0.0666	 5.8523	 100.00	 965.86
      5	4007e8	     75	   25.0	   23.0	    6.8	 0.0829	12.5755	 100.00	1036.87
      6	4007e8	     75	   30.0	   10.0	    7.3	 0.0830	 7.4600	 100.00	1100.28
      7	4007e8	     75	   20.0	   10.0	    7.6	 0.0785	 3.9882	 100.00	1152.47
      8	4007e8	     75	   15.0	    8.0	    7.7	 0.0820	 3.9579	 100.00	1195.13
      9	4007e8	     75	   35.0	   19.0	    8.8	 0.0790	20.5326	 100.00	1223.99
     10	4007e8	     75	   20.0	    3.0	    8.3	 0.0722	 0.0752	 100.00	1251.02
     11	4007e8	     75	   35.0	   21.0	    9.3	 0.0865	20.4144	 100.00	1276.91
     12	4007e8	     75	   15.0	   36.0	   11.4	 0.0851	42.2094	 100.00	1307.33
     13	4007e8	     75	   25.0	   36.0	   13.1	 0.0854	 5.7864	 100.00	1328.36
     14	4007e8	     75	   25.0	   12.0	   13.1	 0.0822	 1.5755	 100.00	1346.90
     15	4007e8	     75	   20.0	    7.0	   12.7	 0.0798	 2.6061	 100.00	1368.31
     16	4007e8	     75	   15.0	    9.0	   12.5	 0.0799	 6.3672	 100.00	1387.79
     17	4007e8	     75	   45.0	   25.0	   13.2	 0.0842	25.7022	 100.00	1405.45
     18	4007e8	     75	   20.0	   15.0	   13.3	 0.0809	 8.8143	 100.00	1421.08
     19	4007e8	     75	   25.0	   10.0	   13.1	 0.0818	11.6572	 100.00	1432.96
     20	4007e8	     75	   15.0	   12.0	   13.0	 0.0805	 2.1684	 100.00	1441.36
     21	4007e8	     75	   25.0	   29.0	   13.8	 0.0793	 3.1154	 100.00	1454.10
     22	4007e8	     75	   40.0	   31.0	   14.5	 0.0858	41.0878	 100.00	1461.04
     23	4007e8	     75	   20.0	   17.0	   14.6	 0.0819	 0.2405	 100.00	1468.96
     24	4007e8	     75	   15.0	    4.0	   14.2	 0.0802	 7.3067	 100.00	1478.78
     25	4007e8	     75	   35.0	   11.0	   14.1	 0.0797	 5.0796	 100.00	1487.84
     26	4007e8	     75	   20.0	    9.0	   13.9	 0.0779	 9.3903	 100.00	1496.44
     27	4007e8	     75	   30.0	   14.0	   13.9	 0.0791	 1.8250	 100.00	1504.49
     28	4007e8	     75	   15.0	   12.0	   13.8	 0.0777	 3.1686	 100.00	1512.29
     29	4007e8	     75	   25.0	   13.0	   13.8	 0.0774	 1.3112	 100.00	1519.55
     30	4007e8	     75	   25.0	   10.0	   13.7	 0.0761	 2.9193	 100.00	1526.26
     31	4007e8	     75	   20.0	    3.0	   13.3	 0.0754	 1.4924	 100.00	1532.77
     32	4007e8	     75	   15.0	    6.0	   13.1	 0.0746	 0.2767	 100.00	1539.05
     33	4007e8	     75	   55.0	   30.0	   13.6	 0.0792	36.6880	 100.00	1545.13
     34	4007e8	     75	   20.0	   23.0	   13.9	 0.0786	 4.9585	 100.00	1550.64
     35	4007e8	     75	   25.0	   11.0	   13.8	 0.0782	 8.4455	 100.00	1556.14
     36	4007e8	     75	   15.0	    6.0	   13.6	 0.0765	 8.0765	 100.00	1557.03
     37	4007e8	     75	   25.0	    2.0	   13.3	 0.0747	 0.3305	 100.00	1548.80
     38	4007e8	     75	   30.0	    7.0	   13.1	 0.0741	 0.9739	 100.00	1543.50
     39	4007e8	     75	   20.0	    6.0	   12.9	 0.0723	 1.8093	 100.00	1538.97
     40	4007e8	     75	   15.0	    2.0	   12.7	 0.0713	 0.9105	 100.00	1535.26
     41	4007e8	     75	   35.0	   14.0	   12.7	 0.0708	 8.2067	 100.00	1531.57
     42	4007e8	     75	   20.0	    5.0	   12.5	 0.0694	 3.9126	 100.00	1527.55
     43	4007e8	     75	   30.0	   19.0	   12.7	 0.0729	65.6572	 100.00	1524.42
     44	4007e8	     75	   20.0	   16.0	   12.8	 0.0760	37.5316	 100.00	1521.24
     45	4007e8	     75	   15.0	   14.0	   12.8	 0.0755	 2.1912	 100.00	1517.18
     46	4007e8	     75	   35.0	    8.0	   12.7	 0.0773	11.4213	 100.00	1512.63
     47	4007e8	     75	   15.0	   16.0	   12.8	 0.0772	 1.0157	 100.00	1509.53
     48	4007e8	     75	   20.0	   11.0	   12.7	 0.0818	31.7127	 100.00	1511.21
     49	4007e8	     75	   25.0	   19.0	   12.8	 0.0828	10.6193	 100.00	1512.93
     50	4007e8	     75	   40.0	   15.0	   12.9	 0.0853	96.1120	 100.00	1515.54
     51	4007e8	     75	   20.0	   23.0	   13.1	 0.0854	10.2627	 100.00	1517.16
     52	4007e8	     75	   20.0	   12.0	   13.1	 0.0856	11.2147	 100.00	1515.22
     53	4007e8	     75	   15.0	   13.0	   13.1	 0.0844	 3.9243	 100.00	1513.53
     54	4007e8	     75	   45.0	   16.0	   13.1	 0.0858	14.9371	 100.00	1512.57
