../../../asc/asc:main.c:225: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	Logloss	 Misses	   MIPS
      0	400144	     60	    0.0	42114.0	42114.0	 0.0000	    inf	 100.00	0.00007
      1	4007ed	     60	    0.0	 1233.0	  616.5	 0.0000	    inf	 100.00	 578.56
      2	4007ed	     60	   16.0	 1155.0	  385.0	 0.0323	24.9000	 100.00	 894.47
      3	4007ed	     60	   20.0	   11.0	    2.8	 0.1001	11.7050	 100.00	1069.71
      4	4007ed	     60	   12.0	   17.0	    5.6	 0.0838	 0.2254	 100.00	1182.30
      5	4007ed	     60	   20.0	   19.0	    7.8	 0.1050	35.2442	 100.00	1264.73
      6	4007ed	     60	   24.0	   27.0	   10.6	 0.1059	11.0308	 100.00	1326.10
      7	4007ed	     60	   16.0	   19.0	   11.6	 0.1063	 8.0589	 100.00	1373.89
      8	4007ed	     60	   12.0	   25.0	   13.1	 0.1014	 1.4678	 100.00	1411.77
      9	4007ed	     60	   28.0	   15.0	   13.3	 0.1062	 3.0950	 100.00	1443.28
     10	4007ed	     60	   16.0	   29.0	   14.7	 0.1001	 0.9143	 100.00	1469.49
     11	4007ed	     60	   28.0	   15.0	   14.8	 0.1238	61.7954	 100.00	1491.96
     12	4007ed	     60	   12.0	   21.0	   15.2	 0.1146	 2.5400	 100.00	1510.85
     13	4007ed	     60	   20.0	   23.0	   15.8	 0.1098	 0.8389	 100.00	1527.40
     14	4007ed	     60	   20.0	   25.0	   16.4	 0.1030	 2.6114	 100.00	1541.90
     15	4007ed	     60	   16.0	   17.0	   16.4	 0.0970	 2.4964	 100.00	1556.07
     16	4007ed	     60	   12.0	   23.0	   16.8	 0.0956	 0.6123	 100.00	1568.16
     17	4007ed	     60	   36.0	   15.0	   16.7	 0.0958	 2.3013	 100.00	1579.17
     18	4007ed	     60	   16.0	   29.0	   17.4	 0.0905	 0.3619	 100.00	1588.87
     19	4007ed	     60	   20.0	    9.0	   16.9	 0.0968	12.4495	 100.00	1597.60
     20	4007ed	     60	   12.0	   15.0	   16.9	 0.0917	 0.7638	 100.00	1605.65
     21	4007ed	     60	   20.0	   17.0	   16.9	 0.0977	 9.9704	 100.00	1613.00
     22	4007ed	     60	   32.0	   37.0	   17.7	 0.0997	 5.5786	 100.00	1619.72
