../../../asc/asc:main.c:225: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	Logloss	 Misses	   MIPS
      0	400144	     30	    0.0	42123.0	42123.0	 0.0000	    inf	 100.00	0.00011
      1	4007f2	     30	    0.0	 1289.0	  644.5	 0.0000	    inf	 100.00	 683.78
      2	4007f2	     30	    8.0	 1218.0	  406.0	 0.0451	 1.1361	 100.00	1007.03
      3	4007f2	     30	   10.0	    2.0	    0.5	 0.0482	 4.7072	 100.00	1169.55
      4	4007f2	     30	    6.0	    7.0	    1.8	 0.0480	 9.0945	 100.00	1277.31
      5	4007f2	     30	   10.0	    8.0	    2.8	 0.0852	 3.6084	 100.00	1353.80
      6	4007f2	     30	   12.0	    8.0	    3.6	 0.0775	 2.5554	 100.00	1407.87
      7	4007f2	     30	    8.0	    4.0	    3.6	 0.0665	 1.5397	 100.00	1447.95
      8	4007f2	     30	    6.0	    4.0	    3.7	 0.0729	 0.8979	 100.00	1479.85
      9	4007f2	     30	   14.0	    7.0	    4.0	 0.0717	 4.2226	 100.00	1507.38
     10	4007f2	     30	    8.0	    4.0	    4.0	 0.0638	 0.7156	 100.00	1530.15
     11	4007f2	     30	   14.0	   14.0	    4.8	 0.0734	 8.6249	 100.00	1549.65
     12	4007f2	     30	    6.0	   12.0	    5.4	 0.0668	 0.5619	 100.00	1566.06
     13	4007f2	     30	   10.0	    4.0	    5.3	 0.0688	 1.4269	 100.00	1580.69
     14	4007f2	     30	   10.0	    6.0	    5.3	 0.0688	 6.1321	 100.00	1593.06
     15	4007f2	     30	    8.0	    4.0	    5.2	 0.0696	 1.1938	 100.00	1604.54
     16	4007f2	     30	    6.0	    4.0	    5.2	 0.0671	 1.3041	 100.00	1614.80
     17	4007f2	     30	   18.0	   10.0	    5.4	 0.0694	 3.9150	 100.00	1624.44
     18	4007f2	     30	    8.0	    4.0	    5.4	 0.0656	 0.5346	 100.00	1633.48
     19	4007f2	     30	   10.0	    2.0	    5.2	 0.0646	 2.9014	 100.00	1633.97
     20	4007f2	     30	    6.0	    2.0	    5.0	 0.0613	 0.9945	 100.00	1629.28
     21	4007f2	     30	   10.0	    6.0	    5.1	 0.0636	 0.6807	 100.00	1626.88
     22	4007f2	     30	   16.0	   10.0	    5.3	 0.0632	 2.0103	 100.00	1628.32
     23	4007f2	     30	    8.0	    4.0	    5.2	 0.0604	 0.6589	 100.00	1623.67
     24	4007f2	     30	    6.0	    0.0	    5.0	 0.0578	 0.9887	 +96.00	1684.09
     25	4007f2	     30	   14.0	   14.0	    5.4	 0.0602	 5.7769	  96.15	1679.96
     26	4007f2	     30	    8.0	   12.0	    5.6	 0.0580	 0.7852	  96.30	1680.62
     27	4007f2	     30	   12.0	    0.0	    5.4	 0.0566	 2.1800	 +92.86	1734.11
     28	4007f2	     30	    6.0	    6.0	    5.4	 0.0545	 0.7776	  93.10	1729.55
     29	4007f2	     30	   10.0	   10.0	    5.6	 0.0526	 0.6851	  93.33	1725.28
     30	4007f2	     30	   10.0	    6.0	    5.6	 0.0542	 2.2151	  93.55	1725.63
     31	4007f2	     30	    8.0	    6.0	    5.6	 0.0524	 0.6847	  93.75	1727.21
     32	4007f2	     30	    6.0	    0.0	    5.5	 0.0507	 0.8133	 +90.91	1778.67
     33	4007f2	     30	   22.0	   22.0	    5.9	 0.0565	14.4346	  91.18	1774.98
     34	4007f2	     30	    8.0	   16.0	    6.2	 0.0548	 0.4680	  91.43	1770.96
     35	4007f2	     30	   10.0	    0.0	    6.1	 0.0533	 1.3966	 +88.89	1813.76
     36	4007f2	     30	    6.0	    6.0	    6.1	 0.0518	 0.7152	  89.19	1809.88
     37	4007f2	     30	   10.0	   10.0	    6.2	 0.0509	 0.9162	  89.47	1799.65
     38	4007f2	     30	   12.0	    3.0	    6.1	 0.0504	 3.4041	  89.74	1790.18
     39	4007f2	     30	    8.0	    2.0	    6.0	 0.0491	 0.8175	  90.00	1786.88
     40	4007f2	     30	    6.0	    0.0	    5.8	 0.0479	 0.8716	 +87.80	1827.51
