../../../asc/asc:main.c:225: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	Logloss	 Misses	   MIPS
      0	400144	     30	    0.0	42118.0	42118.0	 0.0000	    inf	 100.00	   3.49
      1	4007fa	     30	    0.0	 1217.0	  608.5	 0.0000	    inf	 100.00	 702.87
      2	4007fa	     30	    8.0	 1217.0	  405.7	 0.0143	 2.1950	 100.00	1006.45
      3	4007fa	     30	   10.0	    0.0	    0.0	 0.0237	 1.7985	 +75.00	1488.35
      4	4007fa	     30	    6.0	    6.0	    1.2	 0.0168	 1.1776	  80.00	1471.38
      5	4007fa	     30	   10.0	   11.0	    2.8	 0.0388	 9.1027	  83.33	1515.04
      6	4007fa	     30	   12.0	    3.0	    2.9	 0.0327	 1.6736	  85.71	1530.82
      7	4007fa	     30	    8.0	    0.0	    2.5	 0.0284	 0.8658	 +75.00	1767.34
      8	4007fa	     30	    6.0	    6.0	    2.9	 0.0359	 0.7305	  77.78	1756.10
      9	4007fa	     30	   14.0	   12.0	    3.8	 0.0379	 1.3764	  80.00	1761.51
     10	4007fa	     30	    8.0	    4.0	    3.8	 0.0384	 0.5494	  81.82	1765.72
     11	4007fa	     30	   14.0	    6.0	    4.0	 0.0532	 6.6901	  83.33	1768.91
     12	4007fa	     30	    6.0	    8.0	    4.3	 0.0517	 0.9358	  84.62	1769.12
     13	4007fa	     30	   10.0	    6.0	    4.4	 0.0537	 1.0278	  85.71	1763.44
     14	4007fa	     30	   10.0	    6.0	    4.5	 0.0530	 2.6436	  86.67	1759.69
     15	4007fa	     30	    8.0	    6.0	    4.6	 0.0526	 1.1013	  87.50	1757.18
     16	4007fa	     30	    6.0	    6.0	    4.7	 0.0586	 1.2980	  88.24	1753.64
     17	4007fa	     30	   18.0	   10.0	    5.0	 0.0637	 7.4278	  88.89	1748.39
     18	4007fa	     30	    8.0	    8.0	    5.2	 0.0600	 0.5522	  89.47	1745.53
     19	4007fa	     30	   10.0	    1.0	    5.0	 0.0577	 2.1528	  90.00	1747.73
     20	4007fa	     30	    6.0	    1.0	    4.8	 0.0546	 0.7789	  90.48	1748.62
     21	4007fa	     30	   10.0	    6.0	    4.8	 0.0575	 1.9870	  90.91	1746.42
     22	4007fa	     30	   16.0	   12.0	    5.1	 0.0607	 5.4040	  91.30	1745.65
     23	4007fa	     30	    8.0	    4.0	    5.1	 0.0580	 0.5259	  91.67	1742.19
     24	4007fa	     30	    6.0	    0.0	    4.9	 0.0555	 0.8868	 +88.00	1808.26
     25	4007fa	     30	   14.0	   14.0	    5.2	 0.0558	 2.7637	  88.46	1804.37
     26	4007fa	     30	    8.0	   10.0	    5.4	 0.0535	 0.7035	  88.89	1804.61
     27	4007fa	     30	   12.0	    2.0	    5.3	 0.0544	 7.1403	  89.29	1798.25
     28	4007fa	     30	    6.0	    2.0	    5.2	 0.0524	 0.7294	  89.66	1794.85
     29	4007fa	     30	   10.0	    0.0	    5.0	 0.0508	 0.3609	 +86.67	1852.83
     30	4007fa	     30	   10.0	   10.0	    5.2	 0.0507	 0.5154	  87.10	1849.15
     31	4007fa	     30	    8.0	   11.0	    5.3	 0.0494	 0.6447	  87.50	1847.71
     32	4007fa	     30	    6.0	    0.0	    5.2	 0.0478	 0.8314	 +84.85	1900.72
     33	4007fa	     30	   22.0	   22.0	    5.7	 0.0522	10.8289	  85.29	1897.11
     34	4007fa	     30	    8.0	   16.0	    6.0	 0.0507	 0.8502	  85.71	1894.00
     35	4007fa	     30	   10.0	    0.0	    5.8	 0.0492	 1.0747	 +83.33	1936.57
     36	4007fa	     30	    6.0	    6.0	    5.8	 0.0478	 0.6130	  83.78	1933.09
     37	4007fa	     30	   10.0	   10.0	    5.9	 0.0467	 0.9599	  84.21	1927.65
     38	4007fa	     30	   12.0	    0.0	    5.8	 0.0464	 3.4025	 +82.05	1972.04
     39	4007fa	     30	    8.0	    8.0	    5.8	 0.0452	 0.7044	  82.50	1968.86
     40	4007fa	     30	    6.0	    7.0	    5.9	 0.0440	 0.6441	  82.93	1964.41
     41	4007fa	     30	   14.0	    8.0	    5.9	 0.0478	 2.4706	  83.33	1956.60
     42	4007fa	     30	    8.0	    8.0	    6.0	 0.0467	 0.7102	  83.72	1948.78
     43	4007fa	     30	   12.0	   10.0	    6.0	 0.0511	 4.6566	  84.09	1945.03
     44	4007fa	     30	    8.0	   10.0	    6.1	 0.0536	 8.1321	  84.44	1941.80
     45	4007fa	     30	    6.0	    8.0	    6.2	 0.0539	 0.4391	  84.78	1938.85
     46	4007fa	     30	   14.0	    4.0	    6.1	 0.0551	 3.0058	  85.11	1935.98
     47	4007fa	     30	    6.0	    6.0	    6.1	 0.0542	 0.5019	  85.42	1933.26
     48	4007fa	     30	    8.0	    9.0	    6.2	 0.0563	 0.9986	  85.71	1930.78
     49	4007fa	     30	   10.0	    5.0	    6.2	 0.0600	29.6196	  86.00	1928.24
     50	4007fa	     30	   16.0	   10.0	    6.2	 0.0621	20.2318	  86.27	1925.80
     51	4007fa	     30	    8.0	    7.0	    6.2	 0.0625	 5.0571	  86.54	1923.38
     52	4007fa	     30	    8.0	    6.0	    6.2	 0.0614	 0.7525	  86.79	1921.05
