../../../asc/asc:main.c:225: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	Logloss	 Misses	   MIPS
      0	400144	     30	    0.0	42110.0	42110.0	 0.0000	    inf	 100.00	   1.50
      1	4007fe	     30	    0.0	 1292.0	  646.0	 0.0000	    inf	 100.00	 731.04
      2	4007fe	     30	    8.0	 1217.0	  405.7	 0.0361	 6.4270	 100.00	1047.67
      3	4007fe	     30	   10.0	    4.0	    1.0	 0.0257	 1.5885	 100.00	1204.98
      4	4007fe	     30	    6.0	    4.0	    1.6	 0.0403	 1.5317	 100.00	1306.92
      5	4007fe	     30	   10.0	    9.0	    2.8	 0.0615	 1.5032	 100.00	1377.03
      6	4007fe	     30	   12.0	    2.0	    2.7	 0.0597	 6.5341	 100.00	1427.38
      7	4007fe	     30	    8.0	    4.0	    2.9	 0.0547	 0.9173	 100.00	1467.10
      8	4007fe	     30	    6.0	    6.0	    3.2	 0.0582	 1.4513	 100.00	1499.07
      9	4007fe	     30	   14.0	   12.0	    4.1	 0.0576	 1.9049	 100.00	1524.24
     10	4007fe	     30	    8.0	    8.0	    4.5	 0.0561	 1.2750	 100.00	1545.79
     11	4007fe	     30	   14.0	    6.0	    4.6	 0.0595	 9.9026	 100.00	1563.69
     12	4007fe	     30	    6.0	    8.0	    4.8	 0.0555	 1.1251	 100.00	1578.39
     13	4007fe	     30	   10.0	    5.0	    4.9	 0.0582	 0.9078	 100.00	1591.02
     14	4007fe	     30	   10.0	    8.0	    5.1	 0.0553	 4.5298	 100.00	1601.73
     15	4007fe	     30	    8.0	    4.0	    5.0	 0.0563	 0.6051	 100.00	1611.31
     16	4007fe	     30	    6.0	    4.0	    4.9	 0.0530	 1.3301	 100.00	1620.56
     17	4007fe	     30	   18.0	    4.0	    4.9	 0.0562	 4.2738	 100.00	1624.82
     18	4007fe	     30	    8.0	    4.0	    4.8	 0.0530	 0.6858	 100.00	1626.02
     19	4007fe	     30	   10.0	    0.0	    4.6	 0.0508	 2.9886	 +95.00	1710.31
     20	4007fe	     30	    6.0	    6.0	    4.7	 0.0481	 0.6833	  95.24	1706.09
     21	4007fe	     30	   10.0	   10.0	    4.9	 0.0461	 1.7999	  95.45	1694.37
     22	4007fe	     30	   16.0	    4.0	    4.9	 0.0479	 3.5209	  95.65	1691.13
     23	4007fe	     30	    8.0	    4.0	    4.8	 0.0458	 0.5095	  95.83	1694.67
     24	4007fe	     30	    6.0	    0.0	    4.6	 0.0439	 1.1551	 +92.00	1763.30
     25	4007fe	     30	   14.0	   14.0	    5.0	 0.0443	 6.0773	  92.31	1759.39
     26	4007fe	     30	    8.0	   12.0	    5.3	 0.0425	 0.9121	  92.59	1756.63
     27	4007fe	     30	   12.0	    2.0	    5.1	 0.0436	17.1442	  92.86	1753.43
     28	4007fe	     30	    6.0	    4.0	    5.1	 0.0420	 0.8188	  93.10	1755.21
     29	4007fe	     30	   10.0	    0.0	    4.9	 0.0407	 0.9877	 +90.00	1813.52
     30	4007fe	     30	   10.0	   10.0	    5.1	 0.0432	 1.7131	  90.32	1810.27
     31	4007fe	     30	    8.0	   14.0	    5.4	 0.0418	 0.6550	  90.62	1810.15
     32	4007fe	     30	    6.0	    0.0	    5.2	 0.0407	 1.2518	 +87.88	1863.68
     33	4007fe	     30	   22.0	   22.0	    5.7	 0.0445	 9.0616	  88.24	1860.51
     34	4007fe	     30	    8.0	   14.0	    5.9	 0.0431	 0.5277	  88.57	1854.93
     35	4007fe	     30	   10.0	    2.0	    5.8	 0.0430	 0.7031	  88.89	1850.14
