../../../asc/asc:main.c:225: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	Logloss	 Misses	   MIPS
      0	400144	     30	    0.0	42112.0	42112.0	 0.0000	    inf	 100.00	0.00010
      1	400800	     30	    0.0	 1264.0	  632.0	 0.0000	    inf	 100.00	 654.49
      2	400800	     30	    8.0	 1213.0	  404.3	 0.0373	 1.0021	 100.00	 970.32
      3	400800	     30	   10.0	    4.0	    1.0	 0.0662	 8.9509	 100.00	1134.82
      4	400800	     30	    6.0	    6.0	    2.0	 0.0627	 0.8100	 100.00	1245.55
      5	400800	     30	   10.0	    9.0	    3.2	 0.0882	 8.9702	 100.00	1320.31
      6	400800	     30	   12.0	    6.0	    3.6	 0.0779	 4.8387	 100.00	1378.02
      7	400800	     30	    8.0	    8.0	    4.1	 0.0670	 1.6653	 100.00	1423.03
      8	400800	     30	    6.0	    6.0	    4.3	 0.0717	 1.1086	 100.00	1458.97
      9	400800	     30	   14.0	    6.0	    4.5	 0.0694	 1.5160	 100.00	1486.82
     10	400800	     30	    8.0	    4.0	    4.5	 0.0686	 2.4492	 100.00	1511.33
     11	400800	     30	   14.0	    6.0	    4.6	 0.0681	 2.0420	 100.00	1532.15
     12	400800	     30	    6.0	    2.0	    4.4	 0.0620	 0.6754	 100.00	1547.33
     13	400800	     30	   10.0	    2.0	    4.2	 0.0616	 2.1748	 100.00	1559.34
     14	400800	     30	   10.0	    4.0	    4.2	 0.0592	 4.8290	 100.00	1570.16
     15	400800	     30	    8.0	    2.0	    4.1	 0.0572	 1.5951	 100.00	1580.35
     16	400800	     30	    6.0	    1.0	    3.9	 0.0551	 1.0726	 100.00	1589.36
     17	400800	     30	   18.0	    5.0	    3.9	 0.0581	 3.6871	 100.00	1596.73
     18	400800	     30	    8.0	    4.0	    3.9	 0.0565	 0.5500	 100.00	1603.14
     19	400800	     30	   10.0	    2.0	    3.9	 0.0569	 4.4618	 100.00	1608.91
     20	400800	     30	    6.0	    2.0	    3.8	 0.0542	 1.0981	 100.00	1614.23
     21	400800	     30	   10.0	    2.0	    3.7	 0.0532	 2.1150	 100.00	1618.83
     22	400800	     30	   16.0	    7.0	    3.8	 0.0548	 7.3081	 100.00	1623.24
     23	400800	     30	    8.0	    4.0	    3.8	 0.0527	 0.4571	 100.00	1627.69
     24	400800	     30	    6.0	    0.0	    3.7	 0.0504	 0.6643	 +96.00	1695.00
     25	400800	     30	   14.0	   14.0	    4.1	 0.0499	 1.3751	  96.15	1692.25
     26	400800	     30	    8.0	   10.0	    4.3	 0.0481	 0.8711	  96.30	1694.78
     27	400800	     30	   12.0	    1.0	    4.2	 0.0479	 3.1401	  96.43	1692.08
     28	400800	     30	    6.0	    2.0	    4.1	 0.0462	 0.7825	  96.55	1690.68
     29	400800	     30	   10.0	    1.0	    4.0	 0.0452	 1.7492	  96.67	1693.36
     30	400800	     30	   10.0	    7.0	    4.1	 0.0483	 1.7279	  96.77	1695.82
     31	400800	     30	    8.0	    6.0	    4.2	 0.0482	 1.2971	  96.88	1698.09
     32	400800	     30	    6.0	    2.0	    4.1	 0.0467	 0.8304	  96.97	1700.29
     33	400800	     30	   22.0	    4.0	    4.1	 0.0488	 4.7888	  97.06	1702.60
     34	400800	     30	    8.0	    4.0	    4.1	 0.0474	 0.3945	  97.14	1704.79
     35	400800	     30	   10.0	    0.0	    4.0	 0.0463	 1.2805	 +94.44	1752.63
     36	400800	     30	    6.0	    6.0	    4.0	 0.0450	 0.5610	  94.59	1750.55
     37	400800	     30	   10.0	   10.0	    4.2	 0.0440	 1.1548	  94.74	1746.68
     38	400800	     30	   12.0	    2.0	    4.1	 0.0444	 1.8031	  94.87	1744.90
     39	400800	     30	    8.0	    2.0	    4.1	 0.0433	 0.8388	  95.00	1746.00
     40	400800	     30	    6.0	    0.0	    4.0	 0.0422	 0.5480	 +92.68	1788.67
     41	400800	     30	   14.0	   14.0	    4.2	 0.0433	 1.9730	  92.86	1786.75
     42	400800	     30	    8.0	   13.0	    4.4	 0.0423	 0.6790	  93.02	1786.96
     43	400800	     30	   12.0	    8.0	    4.5	 0.0464	16.5620	  93.18	1786.84
     44	400800	     30	    8.0	    6.0	    4.5	 0.0482	 5.2136	  93.33	1786.66
     45	400800	     30	    6.0	    6.0	    4.6	 0.0474	 0.5606	  93.48	1786.19
     46	400800	     30	   14.0	    0.0	    4.5	 0.0468	 2.2318	 +91.49	1822.72
     47	400800	     30	    6.0	    6.0	    4.5	 0.0461	 0.5040	  91.67	1820.94
     48	400800	     30	    8.0	    8.0	    4.6	 0.0499	 3.3493	  91.84	1820.44
     49	400800	     30	   10.0	    6.0	    4.6	 0.0505	12.0413	  92.00	1819.73
     50	400800	     30	   16.0	   10.0	    4.7	 0.0542	32.0249	  92.16	1819.12
     51	400800	     30	    8.0	   10.0	    4.8	 0.0538	 0.4870	  92.31	1818.73
     52	400800	     30	    8.0	    4.0	    4.8	 0.0539	 2.1770	  92.45	1818.04
     53	400800	     30	    6.0	    4.0	    4.8	 0.0539	 0.4150	  92.59	1816.41
     54	400800	     30	   18.0	    6.0	    4.8	 0.0554	 5.1513	  92.73	1814.71
     55	400800	     30	    6.0	    6.0	    4.8	 0.0544	 0.4252	  92.86	1812.96
     56	400800	     30	    8.0	    2.0	    4.8	 0.0546	 1.3665	  92.98	1811.46
     57	400800	     30	    8.0	    4.0	    4.8	 0.0537	 0.8257	  93.10	1809.84
     58	400800	     30	   14.0	    3.0	    4.7	 0.0543	 3.9034	  93.22	1808.13
     59	400800	     30	   10.0	    7.0	    4.8	 0.0541	 1.0889	  93.33	1806.84
     60	400800	     30	    8.0	    6.0	    4.8	 0.0551	 1.8877	  93.44	1805.65
     61	400800	     30	    6.0	    4.0	    4.8	 0.0542	 0.4944	  93.55	1804.45
     62	400800	     30	   14.0	    2.0	    4.7	 0.0543	 0.9904	  93.65	1803.20
     63	400800	     30	    6.0	    2.0	    4.7	 0.0534	 0.4948	  93.75	1802.06
     64	400800	     30	    8.0	    5.0	    4.7	 0.0537	 2.4366	  93.85	1800.84
     65	400800	     30	   14.0	    5.0	    4.7	 0.0562	38.8059	  93.94	1799.82
     66	400800	     30	   20.0	   14.0	    4.8	 0.0598	41.7926	  94.03	1798.74
     67	400800	     30	    8.0	   12.0	    4.9	 0.0596	 0.2154	  94.12	1797.56
     68	400800	     30	    8.0	    6.0	    5.0	 0.0600	 1.5853	  94.20	1796.44
     69	400800	     30	    6.0	    4.0	    4.9	 0.0598	 1.0174	  94.29	1795.44
     70	400800	     30	   16.0	    5.0	    4.9	 0.0608	 7.4536	  94.37	1794.54
     71	400800	     30	    6.0	    4.0	    4.9	 0.0600	 0.3617	  94.44	1793.59
     72	400800	     30	    8.0	    0.0	    4.9	 0.0592	 0.7664	 +93.15	1816.25
     73	400800	     30	    8.0	    8.0	    4.9	 0.0585	 0.6215	  93.24	1815.09
     74	400800	     30	   14.0	   14.0	    5.0	 0.0584	 1.5111	  93.33	1813.63
     75	400800	     30	   12.0	    6.0	    5.0	 0.0594	12.5706	  93.42	1810.45
     76	400800	     30	    8.0	    4.0	    5.0	 0.0586	 0.5466	  93.51	1809.38
     77	400800	     30	    6.0	    0.0	    5.0	 0.0578	 0.5476	 +92.31	1831.14
     78	400800	     30	   14.0	   14.0	    5.1	 0.0574	 1.2767	  92.41	1830.05
     79	400800	     30	    6.0	    8.0	    5.1	 0.0567	 0.6879	  92.50	1829.22
     80	400800	     30	    8.0	    1.0	    5.1	 0.0562	 0.8766	  92.59	1826.11
     81	400800	     30	   10.0	    3.0	    5.0	 0.0557	 1.6713	  92.68	1823.94
     82	400800	     30	   16.0	    4.0	    5.0	 0.0566	12.0768	  92.77	1823.06
     83	400800	     30	    8.0	    6.0	    5.0	 0.0562	 0.9228	  92.86	1822.79
     84	400800	     30	    8.0	    2.0	    5.0	 0.0556	 0.6744	  92.94	1822.29
     85	400800	     30	    6.0	    0.0	    4.9	 0.0549	 0.9819	 +91.86	1842.02
     86	400800	     30	   14.0	   14.0	    5.0	 0.0575	20.5435	  91.95	1840.91
     87	400800	     30	   10.0	    8.0	    5.1	 0.0581	 1.3365	  92.05	1840.08
