../../../asc/asc:main.c:225: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	Logloss	 Misses	   MIPS
      0	400144	     30	    0.0	42124.0	42124.0	 0.0000	    inf	 100.00	   4.87
      1	40080a	     30	    0.0	 1276.0	  638.0	 0.0000	    inf	 100.00	 718.88
      2	40080a	     30	    8.0	 1213.0	  404.3	 0.0475	 2.1184	 100.00	1031.96
      3	40080a	     30	   10.0	    4.0	    1.0	 0.0619	 1.9421	 100.00	1172.35
      4	40080a	     30	    6.0	    8.0	    2.4	 0.0492	 1.7719	 100.00	1216.22
      5	40080a	     30	   10.0	    8.0	    3.3	 0.0687	 8.8990	 100.00	1295.18
      6	40080a	     30	   12.0	    7.0	    3.9	 0.0597	 2.0494	 100.00	1354.60
      7	40080a	     30	    8.0	    2.0	    3.6	 0.0568	 0.5664	 100.00	1401.11
      8	40080a	     30	    6.0	    4.0	    3.7	 0.0683	 2.1334	 100.00	1438.96
      9	40080a	     30	   14.0	    9.0	    4.2	 0.0690	 5.9834	 100.00	1468.09
     10	40080a	     30	    8.0	    4.0	    4.2	 0.0665	 0.5063	 100.00	1493.86
     11	40080a	     30	   14.0	    8.0	    4.5	 0.0807	36.8020	 100.00	1517.69
     12	40080a	     30	    6.0	   10.0	    4.9	 0.0746	 1.1565	 100.00	1536.14
     13	40080a	     30	   10.0	   15.0	    5.6	 0.0733	 2.8692	 100.00	1551.82
     14	40080a	     30	   10.0	    6.0	    5.7	 0.0771	 2.5703	 100.00	1566.38
     15	40080a	     30	    8.0	    4.0	    5.6	 0.0810	 2.7810	 100.00	1578.56
     16	40080a	     30	    6.0	    4.0	    5.5	 0.0804	 1.5788	 100.00	1589.39
     17	40080a	     30	   18.0	   12.0	    5.8	 0.0811	 4.7845	 100.00	1599.00
     18	40080a	     30	    8.0	    4.0	    5.7	 0.0764	 0.3979	 100.00	1608.49
     19	40080a	     30	   10.0	    2.0	    5.5	 0.0745	 2.1755	 100.00	1616.65
     20	40080a	     30	    6.0	    8.0	    5.7	 0.0706	 0.7170	 100.00	1623.05
     21	40080a	     30	   10.0	   12.0	    6.0	 0.0730	 2.7982	 100.00	1628.86
     22	40080a	     30	   16.0	    8.0	    6.0	 0.0737	 3.1361	 100.00	1634.38
     23	40080a	     30	    8.0	    4.0	    6.0	 0.0703	 0.4732	 100.00	1639.41
     24	40080a	     30	    6.0	    0.0	    5.7	 0.0673	 0.8469	 +96.00	1705.19
     25	40080a	     30	   14.0	   14.0	    6.0	 0.0663	 1.9449	  96.15	1700.49
     26	40080a	     30	    8.0	   10.0	    6.2	 0.0637	 0.6782	  96.30	1703.02
     27	40080a	     30	   12.0	    2.0	    6.0	 0.0638	 3.6899	  96.43	1701.76
     28	40080a	     30	    6.0	    2.0	    5.9	 0.0615	 0.6118	  96.55	1701.87
     29	40080a	     30	   10.0	    2.0	    5.8	 0.0602	 3.1614	  96.67	1703.63
     30	40080a	     30	   10.0	    2.0	    5.6	 0.0610	 1.4621	  96.77	1705.40
     31	40080a	     30	    8.0	    6.0	    5.7	 0.0608	 0.4252	  96.88	1707.34
     32	40080a	     30	    6.0	    2.0	    5.5	 0.0589	 0.9869	  96.97	1706.79
     33	40080a	     30	   22.0	   20.0	    6.0	 0.0640	11.5267	  97.06	1708.48
     34	40080a	     30	    8.0	   16.0	    6.3	 0.0620	 0.3830	  97.14	1709.87
     35	40080a	     30	   10.0	    0.0	    6.1	 0.0603	 0.9458	 +94.44	1755.79
     36	40080a	     30	    6.0	    6.0	    6.1	 0.0585	 0.4829	  94.59	1752.51
     37	40080a	     30	   10.0	   10.0	    6.2	 0.0572	 1.7904	  94.74	1749.50
     38	40080a	     30	   12.0	    2.0	    6.1	 0.0576	 1.9986	  94.87	1748.88
     39	40080a	     30	    8.0	    2.0	    6.0	 0.0561	 0.4745	  95.00	1749.52
     40	40080a	     30	    6.0	    0.0	    5.8	 0.0548	 0.7726	 +92.68	1789.98
     41	40080a	     30	   14.0	   14.0	    6.0	 0.0556	 1.6081	  92.86	1786.92
     42	40080a	     30	    8.0	   12.0	    6.2	 0.0542	 0.4920	  93.02	1782.85
     43	40080a	     30	   12.0	   10.0	    6.2	 0.0601	22.4770	  93.18	1780.30
     44	40080a	     30	    8.0	    8.0	    6.3	 0.0615	20.7442	  93.33	1780.26
     45	40080a	     30	    6.0	    6.0	    6.3	 0.0609	 0.3953	  93.48	1780.02
     46	40080a	     30	   14.0	    6.0	    6.3	 0.0614	 2.3051	  93.62	1780.28
     47	40080a	     30	    6.0	    4.0	    6.2	 0.0601	 0.3065	  93.75	1780.48
     48	40080a	     30	    8.0	   12.0	    6.3	 0.0621	12.6450	  93.88	1780.08
     49	40080a	     30	   10.0	    8.0	    6.4	 0.0634	 5.1788	  94.00	1779.68
     50	40080a	     30	   16.0	   10.0	    6.5	 0.0661	21.4925	  94.12	1779.40
