../../../asc/asc:main.c:225: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	Logloss	 Misses	   MIPS
      0	400144	     30	    0.0	42123.0	42123.0	 0.0000	    inf	 100.00	0.00010
      1	40081c	     30	    0.0	 1278.0	  639.0	 0.0000	    inf	 100.00	 648.84
      2	40081c	     30	    8.0	 1213.0	  404.3	 0.0265	 3.0814	 100.00	 941.36
      3	40081c	     30	   10.0	    4.0	    1.0	 0.0539	 3.0083	 100.00	1107.09
      4	40081c	     30	    6.0	    7.0	    2.2	 0.0398	 1.0742	 100.00	1218.60
      5	40081c	     30	   10.0	    6.0	    2.8	 0.0681	15.8447	 100.00	1303.62
      6	40081c	     30	   12.0	    6.0	    3.3	 0.0639	 2.3657	 100.00	1367.05
      7	40081c	     30	    8.0	    6.0	    3.6	 0.0623	 2.9707	 100.00	1416.44
      8	40081c	     30	    6.0	    4.0	    3.7	 0.0625	 1.6751	 100.00	1455.70
      9	40081c	     30	   14.0	    6.0	    3.9	 0.0610	 1.4696	 100.00	1488.14
     10	40081c	     30	    8.0	    2.0	    3.7	 0.0545	 1.3716	 100.00	1512.93
     11	40081c	     30	   14.0	    6.0	    3.9	 0.0629	10.3440	 100.00	1534.12
     12	40081c	     30	    6.0	    8.0	    4.2	 0.0572	 0.6837	 100.00	1552.57
     13	40081c	     30	   10.0	    2.0	    4.1	 0.0576	 2.4344	 100.00	1568.28
     14	40081c	     30	   10.0	    4.0	    4.1	 0.0566	 3.8043	 100.00	1582.72
     15	40081c	     30	    8.0	    2.0	    3.9	 0.0534	 1.8606	 100.00	1594.57
     16	40081c	     30	    6.0	    2.0	    3.8	 0.0539	 1.6422	 100.00	1604.98
     17	40081c	     30	   18.0	    8.0	    4.1	 0.0590	 3.5534	 100.00	1613.93
     18	40081c	     30	    8.0	    6.0	    4.2	 0.0559	 0.9513	 100.00	1622.16
     19	40081c	     30	   10.0	    2.0	    4.0	 0.0556	 6.1479	 100.00	1629.14
     20	40081c	     30	    6.0	    8.0	    4.2	 0.0527	 0.7418	 100.00	1635.56
     21	40081c	     30	   10.0	   12.0	    4.6	 0.0553	 0.9461	 100.00	1640.08
     22	40081c	     30	   16.0	    8.0	    4.7	 0.0570	 2.7084	 100.00	1643.83
     23	40081c	     30	    8.0	    4.0	    4.7	 0.0547	 0.5707	 100.00	1647.93
     24	40081c	     30	    6.0	    0.0	    4.5	 0.0524	 1.2040	 +96.00	1711.73
     25	40081c	     30	   14.0	   14.0	    4.9	 0.0528	 1.2765	  96.15	1707.75
     26	40081c	     30	    8.0	   10.0	    5.1	 0.0521	 1.1185	  96.30	1704.35
     27	40081c	     30	   12.0	    6.0	    5.1	 0.0520	 3.2503	  96.43	1702.36
     28	40081c	     30	    6.0	    2.0	    5.0	 0.0501	 0.7453	  96.55	1703.47
     29	40081c	     30	   10.0	    0.0	    4.8	 0.0487	 1.2917	 +93.33	1757.06
     30	40081c	     30	   10.0	   10.0	    5.0	 0.0510	 2.6166	  93.55	1753.02
     31	40081c	     30	    8.0	   13.0	    5.2	 0.0493	 1.0792	  93.75	1748.93
     32	40081c	     30	    6.0	    0.0	    5.1	 0.0478	 1.8330	 +90.91	1792.46
     33	40081c	     30	   22.0	   22.0	    5.6	 0.0516	 4.4295	  91.18	1788.89
     34	40081c	     30	    8.0	   14.0	    5.8	 0.0507	 0.4729	  91.43	1787.55
     35	40081c	     30	   10.0	    2.0	    5.7	 0.0497	 1.5435	  91.67	1781.18
     36	40081c	     30	    6.0	    0.0	    5.6	 0.0484	 0.5498	 +89.19	1823.91
     37	40081c	     30	   10.0	   10.0	    5.7	 0.0475	 1.0230	  89.47	1820.66
     38	40081c	     30	   12.0	   12.0	    5.8	 0.0465	 1.7381	  89.74	1818.28
     39	40081c	     30	    8.0	    0.0	    5.7	 0.0453	 0.6646	 +87.50	1856.08
     40	40081c	     30	    6.0	    6.0	    5.7	 0.0442	 0.7915	  87.80	1853.77
     41	40081c	     30	   14.0	   14.0	    5.9	 0.0440	 1.1612	  88.10	1847.33
     42	40081c	     30	    8.0	    1.0	    5.8	 0.0429	 0.6524	  88.37	1843.08
     43	40081c	     30	   12.0	    8.0	    5.8	 0.0468	16.6201	  88.64	1842.29
     44	40081c	     30	    8.0	    6.0	    5.8	 0.0486	10.7643	  88.89	1841.39
     45	40081c	     30	    6.0	    8.0	    5.9	 0.0480	 1.5927	  89.13	1840.73
     46	40081c	     30	   14.0	    5.0	    5.9	 0.0497	 2.1848	  89.36	1840.27
     47	40081c	     30	    6.0	    6.0	    5.9	 0.0495	 0.4844	  89.58	1839.71
     48	40081c	     30	    8.0	   10.0	    6.0	 0.0538	 4.7684	  89.80	1839.20
     49	40081c	     30	   10.0	    7.0	    6.0	 0.0551	20.2999	  90.00	1838.73
     50	40081c	     30	   16.0	   10.0	    6.1	 0.0590	23.6408	  90.20	1838.34
     51	40081c	     30	    8.0	    9.0	    6.1	 0.0578	 0.5401	  90.38	1837.77
     52	40081c	     30	    8.0	    2.0	    6.0	 0.0580	 2.9168	  90.57	1837.28
     53	40081c	     30	    6.0	    6.0	    6.0	 0.0570	 0.7600	  90.74	1834.50
     54	40081c	     30	   18.0	    4.0	    6.0	 0.0584	28.2158	  90.91	1832.38
     55	40081c	     30	    6.0	    4.0	    6.0	 0.0573	 0.3439	  91.07	1828.36
     56	40081c	     30	    8.0	    6.0	    6.0	 0.0588	 0.6158	  91.23	1825.87
     57	40081c	     30	    8.0	    4.0	    5.9	 0.0586	 1.1577	  91.38	1825.53
     58	40081c	     30	   14.0	    8.0	    6.0	 0.0599	 5.4542	  91.53	1824.97
     59	40081c	     30	   10.0	    6.0	    6.0	 0.0600	 6.7500	  91.67	1823.05
     60	40081c	     30	    8.0	    4.0	    5.9	 0.0597	 0.4870	  91.80	1821.66
     61	40081c	     30	    6.0	    4.0	    5.9	 0.0589	 0.9733	  91.94	1819.66
     62	40081c	     30	   14.0	    4.0	    5.9	 0.0598	 5.2041	  92.06	1818.34
     63	40081c	     30	    6.0	    2.0	    5.8	 0.0590	 0.6363	  92.19	1816.66
     64	40081c	     30	    8.0	    2.0	    5.8	 0.0590	 1.4893	  92.31	1814.62
     65	40081c	     30	   14.0	   12.0	    5.8	 0.0615	14.8397	  92.42	1812.84
     66	40081c	     30	   20.0	   12.0	    5.9	 0.0645	18.5968	  92.54	1811.33
     67	40081c	     30	    8.0	    8.0	    6.0	 0.0642	 0.6325	  92.65	1808.20
     68	40081c	     30	    8.0	    4.0	    5.9	 0.0637	 0.5080	  92.75	1806.93
     69	40081c	     30	    6.0	    4.0	    5.9	 0.0634	 0.7492	  92.86	1807.15
     70	40081c	     30	   16.0	    6.0	    5.9	 0.0641	12.3989	  92.96	1805.84
     71	40081c	     30	    6.0	    4.0	    5.9	 0.0631	 0.5136	  93.06	1804.59
     72	40081c	     30	    8.0	    2.0	    5.8	 0.0632	 0.6564	  93.15	1802.93
     73	40081c	     30	    8.0	    6.0	    5.8	 0.0624	 1.0260	  93.24	1800.36
     74	40081c	     30	   14.0	    2.0	    5.8	 0.0625	 2.1216	  93.33	1799.22
     75	40081c	     30	   12.0	    6.0	    5.8	 0.0633	 7.8787	  93.42	1799.12
     76	40081c	     30	    8.0	    5.0	    5.8	 0.0625	 0.6543	  93.51	1797.62
     77	40081c	     30	    6.0	    0.0	    5.7	 0.0617	 0.7318	 +92.31	1818.79
     78	40081c	     30	   14.0	   14.0	    5.8	 0.0610	 0.9848	  92.41	1817.52
     79	40081c	     30	    6.0	    6.0	    5.8	 0.0607	 0.4344	  92.50	1817.17
     80	40081c	     30	    8.0	    2.0	    5.8	 0.0603	 0.4836	  92.59	1814.76
     81	40081c	     30	   10.0	    4.0	    5.7	 0.0605	 3.7658	  92.68	1813.75
     82	40081c	     30	   16.0	    7.0	    5.8	 0.0616	 2.2731	  92.77	1813.50
     83	40081c	     30	    8.0	    8.0	    5.8	 0.0610	 0.9648	  92.86	1813.43
     84	40081c	     30	    8.0	    0.0	    5.7	 0.0604	 0.9207	 +91.76	1832.56
     85	40081c	     30	    6.0	    6.0	    5.7	 0.0597	 1.4751	  91.86	1831.38
     86	40081c	     30	   14.0	   14.0	    5.8	 0.0637	24.0433	  91.95	1830.65
     87	40081c	     30	   10.0	   10.0	    5.9	 0.0639	 2.4780	  92.05	1828.31
     88	40081c	     30	    6.0	    8.0	    5.9	 0.0643	 6.8173	  92.13	1827.14
     89	40081c	     30	   10.0	    2.0	    5.8	 0.0643	 1.0866	  92.22	1826.47
     90	40081c	     30	    8.0	    4.0	    5.8	 0.0641	 5.8865	  92.31	1825.82
