../../../asc/asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	400144	     31	42120.0	42120.0	42120.0	 0.3513	 100.00	  42.01
      1	400843	     31	 1215.0	43327.0	21663.5	 0.2322	 100.00	 797.92
      2	400843	     31	    9.0	43326.0	14442.0	 0.1598	 100.00	1095.37
      3	400843	     31	   11.0	43329.0	10832.2	 0.1675	 100.00	1252.70
      4	400843	     31	    6.0	43327.0	17331.2	 0.1417	 100.00	1350.88
      5	400843	     31	   10.0	43325.0	21663.5	 0.1342	 100.00	1417.95
      6	400843	     31	   13.0	43328.0	24758.4	 0.1237	 100.00	1465.75
      7	400843	     31	    8.0	43328.0	27079.6	 0.1097	 100.00	1502.77
      8	400843	     31	    6.0	43326.0	28884.8	 0.0988	 100.00	1531.98
      9	400843	     31	   15.0	43325.0	30328.8	 0.1029	 100.00	1555.97
     10	400843	     31	    9.0	43324.0	31510.2	 0.0948	 100.00	1575.61
     11	400843	     31	   14.0	43330.0	32495.2	 0.0930	 100.00	1592.49
     12	400843	     31	    6.0	43328.0	33328.5	 0.0886	 100.00	1606.56
     13	400843	     31	   10.0	43326.0	34042.6	 0.0829	 100.00	1618.62
     14	400843	     31	   10.0	43328.0	34661.6	 0.0796	 100.00	1629.15
     15	400843	     31	    8.0	43328.0	35203.2	 0.0749	 100.00	1637.15
     16	400843	     31	    6.0	43326.0	35681.1	 0.0723	 100.00	1644.11
     17	400843	     31	   18.0	43324.0	36105.7	 0.0723	 100.00	1650.60
     18	400843	     31	    9.0	43325.0	36485.6	 0.0685	 100.00	1655.95
     19	400843	     31	   11.0	43326.0	36827.7	 0.0672	 100.00	1661.40
     20	400843	     31	    6.0	43324.0	37137.0	 0.0640	 100.00	1666.14
     21	400843	     31	   10.0	43322.0	37418.1	 0.0622	 100.00	1670.68
     22	400843	     31	   17.0	43331.0	37675.2	 0.0647	 100.00	1674.93
     23	400843	     31	    8.0	43331.0	37910.9	 0.0621	 100.00	1678.60
     24	400843	     31	    6.0	43329.0	38127.6	 0.0602	 100.00	1681.98
     25	400843	     31	   15.0	43326.0	38327.5	 0.0594	 100.00	1685.26
     26	400843	     31	    9.0	43327.0	38512.7	 0.0572	 100.00	1688.28
     27	400843	     31	   12.0	43331.0	38684.8	 0.0561	 100.00	1691.08
     28	400843	     31	    6.0	43329.0	38844.9	 0.0542	 100.00	1694.21
     29	400843	     31	   10.0	43327.0	38994.3	 0.0526	 100.00	1696.58
     30	400843	     31	   10.0	43329.0	39134.2	 0.0527	 100.00	1698.79
     31	400843	     31	    8.0	43329.0	39265.2	 0.0511	 100.00	1701.00
     32	400843	     31	    6.0	43327.0	39388.3	 0.0517	 100.00	1702.93
     33	400843	     31	   22.0	43325.0	39504.1	 0.0580	 100.00	1704.71
     34	400843	     31	    9.0	43324.0	39613.3	 0.0569	 100.00	1706.51
     35	400843	     31	   11.0	43327.0	39716.4	 0.0580	 100.00	1708.19
     36	400843	     31	    6.0	43325.0	39813.9	 0.0564	 100.00	1709.75
     37	400843	     31	   10.0	43323.0	39906.3	 0.0564	 100.00	1711.29
     38	400843	     31	   13.0	43326.0	39994.0	 0.0573	 100.00	1712.72
     39	400843	     31	    8.0	43326.0	40077.3	 0.0559	 100.00	1714.59
     40	400843	     31	    6.0	43324.0	40156.5	 0.0546	 100.00	1716.15
     41	400843	     31	   15.0	43323.0	40231.9	 0.0540	 100.00	1717.96
     42	400843	     31	    9.0	43322.0	40303.7	 0.0528	 100.00	1719.74
     43	400843	     31	   12.0	43334.0	40372.6	 0.0583	 100.00	1721.24
     44	400843	     31	    8.0	43330.0	40438.3	 0.0606	 100.00	1722.76
     45	400843	     31	    6.0	43332.0	40501.2	 0.0609	 100.00	1724.32
     46	400843	     31	   14.0	43330.0	40561.4	 0.0606	 100.00	1725.69
     47	400843	     31	    6.0	43332.0	40619.1	 0.0594	 100.00	1727.01
     48	400843	     31	    8.0	43328.0	40674.4	 0.0585	 100.00	1728.34
     49	400843	     31	   10.0	43334.0	40727.6	 0.0610	 100.00	1729.56
     50	400843	     31	   17.0	43327.0	40778.6	 0.0634	 100.00	1730.72
     51	400843	     31	    9.0	43330.0	40827.6	 0.0626	 100.00	1731.90
