./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	400144	     70	42276.0	42276.0	42276.0	 0.1633	 100.00	  24.49
      1	4007ed	     70	 1174.0	43448.0	21724.0	 0.2456	 100.00	 321.71
      2	4007ed	     70	   16.0	43448.0	14482.7	 0.2719	 100.00	 493.33
      3	4007ed	     70	   20.0	43452.0	10863.0	 0.2521	 100.00	 636.75
      4	4007ed	     70	   12.0	43448.0	17380.0	 0.2292	 100.00	 749.50
      5	4007ed	     70	   20.0	43444.0	21724.0	 0.2172	 100.00	 840.87
      6	4007ed	     70	   24.0	43452.0	24828.0	 0.2087	 100.00	 914.73
      7	4007ed	     70	   16.0	43452.0	27156.0	 0.1967	 100.00	 977.88
      8	4007ed	     70	   12.0	43448.0	28966.2	 0.1880	 100.00	1031.31
      9	4007ed	     70	   28.0	43444.0	30414.0	 0.1916	 100.00	1077.10
     10	4007ed	     70	   16.0	43444.0	31598.5	 0.1758	 100.00	1117.23
     11	4007ed	     70	   28.0	43456.0	32586.7	 0.1750	 100.00	1152.68
     12	4007ed	     70	   12.0	43452.0	33422.5	 0.1669	 100.00	1183.84
