./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	400144	     30	42269.0	42269.0	42269.0	 0.1782	 100.00	  46.58
      1	4007fe	     30	 1229.0	43496.0	21748.0	 0.2345	 100.00	 454.68
      2	4007fe	     30	    8.0	43496.0	14498.7	 0.2320	 100.00	 685.91
      3	4007fe	     30	   10.0	43498.0	10874.5	 0.2018	 100.00	 835.33
      4	4007fe	     30	    6.0	43496.0	17398.8	 0.1812	 100.00	 940.24
      5	4007fe	     30	   10.0	43494.0	21748.0	 0.1667	 100.00	1022.64
      6	4007fe	     30	   12.0	43498.0	24855.1	 0.1657	 100.00	1093.32
      7	4007fe	     30	    8.0	43498.0	27185.5	 0.1505	 100.00	1149.93
      8	4007fe	     30	    6.0	43496.0	28997.8	 0.1420	 100.00	1197.13
      9	4007fe	     30	   14.0	43494.0	30447.4	 0.1444	 100.00	1236.70
     10	4007fe	     30	    8.0	43494.0	31633.5	 0.1346	 100.00	1270.07
     11	4007fe	     30	   14.0	43500.0	32622.3	 0.1330	 100.00	1299.26
     12	4007fe	     30	    6.0	43498.0	33458.9	 0.1276	 100.00	1324.46
