./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	400144	      0	42280.0	42280.0	42280.0	 0.2500	 100.00	  36.21
      1	40081c	      0	 1225.0	43499.0	21749.5	 0.2500	 100.00	 813.39
      2	40081c	      8	    8.0	43499.0	14499.7	 0.2464	 100.00	1162.06
      3	40081c	     12	   10.0	43501.0	10875.2	 0.2443	 100.00	1268.67
      4	40081c	     12	    6.0	43499.0	17400.0	 0.2570	 100.00	1320.57
      5	40081c	     14	   10.0	43497.0	21749.5	 0.2472	 100.00	1387.80
      6	40081c	     16	   12.0	43501.0	24856.9	 0.2515	 100.00	1434.93
      7	40081c	     16	    8.0	43501.0	27187.4	 0.2530	 100.00	1452.45
      8	40081c	     16	    6.0	43499.0	28999.8	 0.2434	 100.00	1476.95
      9	40081c	     18	   14.0	43497.0	30449.5	 0.2468	 100.00	1504.75
     10	40081c	     18	    8.0	43497.0	31635.6	 0.2543	 100.00	1513.18
     11	40081c	     20	   14.0	43503.0	32624.6	 0.2499	 100.00	1534.50
     12	40081c	     20	    6.0	43501.0	33461.2	 0.2585	 100.00	1539.82
