./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	400144	     22	42262.0	42262.0	42262.0	 0.2547	 100.00	  85.19
      1	40080a	     22	 1220.0	43474.0	21737.0	 0.2299	 100.00	 216.67
      2	40080a	     26	    8.0	43474.0	14491.3	 0.2500	 100.00	 372.69
      3	40080a	     28	   10.0	43476.0	10869.0	 0.2494	 100.00	 443.15
      4	40080a	     29	   10.0	43474.0	17390.0	 0.2452	 100.00	 503.37
      5	40080a	     29	    6.0	43480.0	21738.3	 0.2355	 100.00	 514.19
      6	40080a	     30	   12.0	43476.0	24843.7	 0.2524	 100.00	 593.59
      7	40080a	     30	    8.0	43480.0	27173.2	 0.2390	 100.00	 601.41
      8	40080a	     30	   10.0	43474.0	28984.4	 0.2245	 100.00	 631.69
      9	40080a	     30	    6.0	43476.0	30433.6	 0.2054	 100.00	 655.31
     10	40080a	     30	    8.0	43480.0	31619.6	 0.1950	 100.00	 677.83
     11	40080a	     31	   12.0	43476.0	32607.7	 0.2511	 100.00	 713.96
     12	40080a	     31	   12.0	43476.0	33443.7	 0.2450	 100.00	 720.80
     13	40080a	     31	    8.0	43476.0	34160.3	 0.2229	 100.00	 742.51
     14	40080a	     31	    8.0	43480.0	34781.6	 0.2084	 100.00	 762.08
     15	40080a	     31	    6.0	43482.0	35325.4	 0.1882	 100.00	 780.32
     16	40080a	     31	   12.0	43474.0	35804.7	 0.1972	 100.00	 799.49
     17	40080a	     31	    8.0	43478.0	36231.0	 0.1907	 100.00	 817.39
     18	40080a	     31	   10.0	43476.0	36612.3	 0.1782	 100.00	 833.97
     19	40080a	     31	    6.0	43482.0	36955.8	 0.1777	 100.00	 848.76
     20	40080a	     31	   10.0	43480.0	37266.5	 0.1722	 100.00	 863.27
     21	40080a	     32	   16.0	43476.0	37548.7	 0.2449	 100.00	 874.49
     22	40080a	     32	    8.0	43476.0	37806.4	 0.2398	 100.00	 863.21
     23	40080a	     32	    6.0	43482.0	38042.9	 0.2199	 100.00	 869.68
     24	40080a	     32	   10.0	43476.0	38260.2	 0.2218	 100.00	 876.09
     25	40080a	     32	    6.0	43478.0	38460.9	 0.2064	 100.00	 882.16
     26	40080a	     32	   14.0	43476.0	38646.7	 0.1973	 100.00	 887.63
     27	40080a	     32	    6.0	43478.0	38819.2	 0.1855	 100.00	 893.49
     28	40080a	     32	   10.0	43480.0	38979.9	 0.1829	 100.00	 898.53
     29	40080a	     32	    8.0	43480.0	39129.9	 0.1757	 100.00	 903.65
     30	40080a	     32	   10.0	43482.0	39270.3	 0.1670	 100.00	 908.08
     31	40080a	     32	   12.0	43478.0	39401.8	 0.1694	 100.00	 912.93
     32	40080a	     32	    8.0	43474.0	39525.2	 0.1694	 100.00	 922.25
     33	40080a	     32	    6.0	43480.0	39641.5	 0.1673	 100.00	 929.93
     34	40080a	     32	   10.0	43478.0	39751.1	 0.1640	 100.00	 937.29
     35	40080a	     32	    8.0	43482.0	39854.8	 0.1587	 100.00	 943.91
     36	40080a	     32	   14.0	43476.0	39952.6	 0.1630	 100.00	 950.59
     37	40080a	     32	    6.0	43482.0	40045.5	 0.1619	 100.00	 957.07
     38	40080a	     32	    8.0	43482.0	40133.6	 0.1568	 100.00	 963.37
     39	40080a	     32	   10.0	43484.0	40217.4	 0.1546	 100.00	 969.19
     40	40080a	     32	    8.0	43480.0	40297.0	 0.1547	 100.00	 974.73
     41	40080a	     33	   16.0	43472.0	40372.6	 0.2478	 100.00	 974.19
     42	40080a	     33	    8.0	43476.0	40444.7	 0.2508	 100.00	 969.43
     43	40080a	     33	    6.0	43478.0	40513.7	 0.2307	 100.00	 976.23
     44	40080a	     33	   14.0	43476.0	40579.5	 0.2134	 100.00	 982.01
     45	40080a	     33	    6.0	43478.0	40642.5	 0.1999	 100.00	 986.12
     46	40080a	     33	    8.0	43482.0	40702.9	 0.1869	 100.00	 989.97
     47	40080a	     33	   10.0	43480.0	40760.8	 0.1839	 100.00	 993.65
     48	40080a	     33	    8.0	43476.0	40816.2	 0.1814	 100.00	 997.08
     49	40080a	     33	   10.0	43478.0	40869.4	 0.1756	 100.00	1000.07
     50	40080a	     33	    8.0	43478.0	40920.6	 0.1647	 100.00	1003.31
     51	40080a	     33	    6.0	43484.0	40969.9	 0.1616	 100.00	1006.63
     52	40080a	     33	   16.0	43476.0	41017.2	 0.1685	 100.00	1010.39
     53	40080a	     33	    8.0	43480.0	41062.8	 0.1687	 100.00	1014.63
     54	40080a	     33	   10.0	43478.0	41106.7	 0.1598	 100.00	1018.45
     55	40080a	     33	    6.0	43484.0	41149.1	 0.1627	 100.00	1022.23
     56	40080a	     33	    8.0	43480.0	41190.0	 0.1644	 100.00	1025.54
     57	40080a	     33	   10.0	43478.0	41229.5	 0.1642	 100.00	1029.06
     58	40080a	     33	   10.0	43480.0	41267.6	 0.1604	 100.00	1032.44
     59	40080a	     33	    8.0	43480.0	41304.5	 0.1576	 100.00	1035.75
     60	40080a	     33	   10.0	43482.0	41340.2	 0.1583	 100.00	1038.57
