./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	40010c	      0	12671.0	12671.0	12671.0	 0.2500	 100.00	0.00019
      1	40010f	      0	   63.0	12734.0	 6367.0	 0.2500	 100.00	0.00034
      2	400110	      7	    7.0	12733.0	 4244.3	 0.2464	 100.00	0.00042
      3	400113	     47	   42.0	12775.0	 3193.8	 0.2508	 100.00	0.00048
      4	400117	     48	    3.0	12774.0	 5109.8	 0.2548	 100.00	0.00053
      5	400167	     56	   10.0	12780.0	 6388.2	 0.2489	 100.00	0.00056
      6	400168	     56	    5.0	12777.0	 7300.9	 0.2215	 100.00	0.00062
      7	40016b	     94	   40.0	12817.0	 7990.4	 0.2443	 100.00	0.00061
      8	40016f	     95	    2.0	12817.0	 8526.7	 0.2520	 100.00	0.00061
      9	400172	     96	    5.0	12816.0	 8955.6	 0.2533	 100.00	0.00060
     10	400176	    136	   41.0	12857.0	 9310.3	 0.2480	 100.00	0.00057
     11	40017e	    141	    6.0	12863.0	 9606.3	 0.2601	 100.00	0.00055
     12	400182	    142	    7.0	12860.0	 9856.6	 0.2515	 100.00	0.00053
     13	40019b	    142	    3.0	12863.0	10071.4	 0.2131	 100.00	0.00055
     14	40019f	    147	    6.0	12869.0	10257.9	 0.2576	 100.00	0.00053
     15	4001a2	    151	    9.0	12870.0	10421.1	 0.2498	 100.00	0.00052
     16	400129	    162	   18.0	12882.0	10565.9	 0.2615	 100.00	0.00050
     17	40012a	    200	   41.0	12919.0	10696.6	 0.2505	 100.00	0.00048
     18	40012d	    204	    8.0	12923.0	10813.8	 0.2585	 100.00	0.00045
     19	40012e	    204	    4.0	12923.0	10919.2	 0.2712	 100.00	0.00046
     20	400132	    209	    8.0	12927.0	11014.9	 0.2581	 100.00	0.00044
     21	400137	    211	    4.0	12931.0	11102.0	 0.2558	 100.00	0.00042
     22	400153	    211	    3.0	12930.0	11181.4	 0.3096	 100.00	0.00043
     23	400156	    211	    5.0	12927.0	11254.2	 0.2159	 100.00	0.00044
     24	40015a	    211	    4.0	12927.0	11321.1	 0.1664	 100.00	0.00045
     25	40015e	    215	    6.0	12929.0	11382.9	 0.2599	 100.00	0.00043
     26	400139	    215	    5.0	12928.0	11440.1	 0.3469	 100.00	0.00044
     27	40013d	    215	    4.0	12932.0	11493.4	 0.2429	 100.00	0.00045
     28	40013f	    215	    1.0	12933.0	11543.1	 0.1847	 100.00	0.00046
     29	400142	    216	   11.0	12926.0	11589.2	 0.2565	 100.00	0.00044
     30	400145	    216	    6.0	12926.0	11632.3	 0.3020	 100.00	0.00045
     31	400148	    216	    5.0	12923.0	11672.6	 0.2111	 100.00	0.00046
     32	40014f	    216	    3.0	12926.0	11710.6	 0.1618	 100.00	0.00047
     33	400153	    217	    6.0	12926.0	11746.4	 0.2578	 100.00	0.00045
     34	400156	    217	    3.0	12927.0	11780.1	 0.3071	 100.00	0.00045
     35	40015a	    217	    5.0	12928.0	11812.0	 0.2109	 100.00	0.00046
     36	40015e	    217	    4.0	12932.0	11842.2	 0.1639	 100.00	0.00047
     37	400139	    217	    5.0	12931.0	11870.9	 0.1357	 100.00	0.00048
     38	40013d	    217	    3.0	12934.0	11898.2	 0.1154	 100.00	0.00048
     39	40013f	    217	    2.0	12934.0	11924.0	 0.1015	 100.00	0.00049
     40	400142	    217	   12.0	12926.0	11948.5	 0.0957	 100.00	0.00049
     41	400145	    217	    6.0	12926.0	11971.8	 0.0915	 100.00	0.00050
     42	400148	    217	    5.0	12923.0	11993.9	 0.0855	 100.00	0.00051
     43	40014f	    217	    3.0	12926.0	12015.1	 0.0790	 100.00	0.00051
     44	400153	    217	    4.0	12926.0	12035.3	 0.0743	 100.00	0.00052
     45	400156	    217	    4.0	12928.0	12054.7	 0.0707	 100.00	0.00052
     46	40015a	    218	    6.0	12928.0	12073.3	 0.2561	 100.00	0.00051
     47	40015e	    218	    3.0	12931.0	12091.2	 0.2922	 100.00	0.00051
     48	400160	    218	    5.0	12928.0	12108.2	 0.2060	 100.00	0.00052
     49	400164	    218	    5.0	12931.0	12124.7	 0.1602	 100.00	0.00052
     50	400165	    218	    6.0	12929.0	12140.5	 0.1374	 100.00	0.00053
     51	400166	    218	    8.0	12927.0	12155.6	 0.1230	 100.00	0.00053
     52	4001a7	    218	   10.0	12923.0	12170.1	 0.1131	 100.00	0.00054
     53	4001ab	    223	    7.0	12928.0	12184.1	 0.2514	 100.00	0.00052
     54	4001af	    223	    1.0	12929.0	12197.7	 0.2113	 100.00	0.00052
     55	4001b0	    223	   45.0	12890.0	12210.0	 0.2066	 100.00	0.00053
     56	40011c	    223	    6.0	12890.0	12221.9	 0.1853	 100.00	0.00053
     57	40011f	    223	    2.0	12892.0	12233.5	 0.1554	 100.00	0.00054
     58	400126	    223	    7.0	12889.0	12244.6	 0.1333	 100.00	0.00054
