./asc:main.c:294: warning: auxv random bytes were not cleared
  Round	    PC	Excited	Hamming	   Loss	 Regret	    MSE	  Error	   MIPS
      0	40010c	      0	12701.0	12701.0	12701.0	 0.2500	 100.00	0.00018
      1	40010f	      0	   63.0	12764.0	 6382.0	 0.2500	 100.00	0.00032
      2	400110	      7	    7.0	12763.0	 4254.3	 0.2565	 100.00	0.00038
      3	400113	     46	   41.0	12804.0	 3201.0	 0.2494	 100.00	0.00043
      4	400117	     48	    4.0	12802.0	 5121.2	 0.2472	 100.00	0.00047
      5	400167	     57	   11.0	12809.0	 6402.5	 0.2456	 100.00	0.00051
      6	400168	     57	    5.0	12806.0	 7317.3	 0.2209	 100.00	0.00057
      7	40016b	     95	   40.0	12846.0	 8008.4	 0.2481	 100.00	0.00056
      8	40016f	     99	    7.0	12851.0	 8546.4	 0.2522	 100.00	0.00056
      9	400172	    100	    5.0	12850.0	 8976.8	 0.2572	 100.00	0.00056
     10	400176	    139	   40.0	12890.0	 9332.5	 0.2556	 100.00	0.00054
     11	40017e	    144	    6.0	12896.0	 9629.5	 0.2533	 100.00	0.00052
     12	400182	    145	    7.0	12893.0	 9880.5	 0.2575	 100.00	0.00050
     13	40019b	    145	    3.0	12896.0	10095.9	 0.2402	 100.00	0.00053
     14	40019f	    150	    6.0	12902.0	10283.0	 0.2550	 100.00	0.00051
     15	4001a2	    154	    9.0	12903.0	10446.8	 0.2541	 100.00	0.00050
     16	400129	    161	   13.0	12910.0	10591.6	 0.2598	 100.00	0.00049
     17	40012a	    199	   41.0	12947.0	10722.5	 0.2585	 100.00	0.00046
     18	40012d	    203	    9.0	12950.0	10839.7	 0.2562	 100.00	0.00044
     19	40012e	    203	    5.0	12951.0	10945.3	 0.3135	 100.00	0.00045
     20	400132	    208	    8.0	12955.0	11041.0	 0.2586	 100.00	0.00044
     21	400137	    210	    4.0	12959.0	11128.2	 0.2557	 100.00	0.00041
     22	400153	    210	    3.0	12958.0	11207.7	 0.2510	 100.00	0.00043
     23	400156	    210	    5.0	12955.0	11280.5	 0.1769	 100.00	0.00044
     24	40015a	    210	    4.0	12955.0	11347.5	 0.1362	 100.00	0.00045
     25	40015e	    213	    6.0	12957.0	11409.4	 0.2561	 100.00	0.00043
     26	400139	    213	    5.0	12956.0	11466.7	 0.2606	 100.00	0.00044
     27	40013d	    213	    4.0	12960.0	11520.0	 0.1847	 100.00	0.00045
     28	40013f	    213	    1.0	12961.0	11569.7	 0.1424	 100.00	0.00046
     29	400142	    214	   11.0	12954.0	11615.9	 0.2477	 100.00	0.00044
     30	400145	    214	    6.0	12954.0	11659.0	 0.1596	 100.00	0.00045
     31	400148	    214	    5.0	12951.0	11699.4	 0.1173	 100.00	0.00046
     32	40014f	    214	    3.0	12954.0	11737.4	 0.0902	 100.00	0.00047
     33	400153	    215	    6.0	12954.0	11773.2	 0.2613	 100.00	0.00045
     34	400156	    215	    3.0	12955.0	11807.0	 0.4554	 100.00	0.00046
     35	40015a	    215	    5.0	12956.0	11838.9	 0.3138	 100.00	0.00046
     36	40015e	    215	    4.0	12960.0	11869.2	 0.2411	 100.00	0.00047
     37	400139	    215	    5.0	12959.0	11897.9	 0.1984	 100.00	0.00048
     38	40013d	    215	    3.0	12962.0	11925.2	 0.1685	 100.00	0.00048
     39	40013f	    215	    2.0	12962.0	11951.1	 0.1470	 100.00	0.00049
     40	400142	    215	   12.0	12954.0	11975.5	 0.1357	 100.00	0.00050
     41	400145	    215	    6.0	12954.0	11998.8	 0.1252	 100.00	0.00050
     42	400148	    215	    5.0	12951.0	12021.0	 0.1163	 100.00	0.00051
     43	40014f	    215	    3.0	12954.0	12042.2	 0.1076	 100.00	0.00051
     44	400153	    215	    4.0	12954.0	12062.4	 0.1005	 100.00	0.00052
     45	400156	    215	    4.0	12956.0	12081.9	 0.0948	 100.00	0.00053
     46	40015a	    216	    6.0	12956.0	12100.5	 0.2575	 100.00	0.00051
     47	40015e	    216	    3.0	12959.0	12118.4	 0.2756	 100.00	0.00051
     48	400160	    216	    5.0	12956.0	12135.4	 0.1932	 100.00	0.00052
     49	400164	    216	    5.0	12959.0	12151.9	 0.1516	 100.00	0.00052
     50	400165	    216	    7.0	12956.0	12167.7	 0.1315	 100.00	0.00053
     51	400166	    216	    9.0	12955.0	12182.8	 0.1158	 100.00	0.00053
     52	4001a7	    216	    5.0	12956.0	12197.4	 0.1045	 100.00	0.00054
     53	4001ab	    221	    7.0	12961.0	12211.6	 0.2558	 100.00	0.00053
     54	4001af	    221	    1.0	12962.0	12225.2	 0.3017	 100.00	0.00053
     55	4001b0	    221	   49.0	12919.0	12237.6	 0.2737	 100.00	0.00053
     56	40011c	    221	    7.0	12918.0	12249.5	 0.2254	 100.00	0.00054
     57	40011f	    221	    2.0	12920.0	12261.1	 0.1876	 100.00	0.00054
     58	400126	    221	    7.0	12917.0	12272.2	 0.1615	 100.00	0.00055
